Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Raya,Arsenal,GKP,6.0,162.0,OK,27.0,8.5,1.0,162.0
Kinsky,Spurs,GKP,4.5,20.0,OK,4.44,1.1,1.0,20.0
Verbruggen,Brighton,GKP,4.5,130.0,OK,28.89,6.8,1.0,130.0
Dubravka,Spurs,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Lammens,Man Utd,GKP,5.0,109.0,OK,21.8,5.7,1.0,109.0
Donnarumma,Man City,GKP,5.5,135.0,OK,24.55,7.1,1.0,135.0
Pickford,Everton,GKP,5.5,135.0,OK,24.55,7.1,1.0,135.0
Kelleher,Brentford,GKP,5.0,143.0,OK,28.6,7.5,1.0,143.0
Palmer,Ipswich Town,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Martinez,Aston Villa,GKP,5.0,120.0,OK,24.0,6.3,1.0,120.0
Roefs,Sunderland,GKP,5.0,136.0,OK,27.2,7.2,1.0,136.0
Steele,Brighton,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
A.Becker,Liverpool,GKP,5.5,91.0,OK,16.55,4.8,1.0,91.0
Petrović,Bournemouth,GKP,4.5,124.0,OK,27.56,6.5,1.0,124.0
Forster,Bournemouth,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Leno,Fulham,GKP,4.5,122.0,OK,27.11,6.4,1.0,122.0
Trafford,Leeds,GKP,5.0,13.0,OK,2.6,0.7,1.0,13.0
Sánchez,Chelsea,GKP,5.0,113.0,OK,22.6,5.9,1.0,113.0
Henderson,Crystal Palace,GKP,5.0,131.0,OK,26.2,6.9,1.0,131.0
Matthews,Crystal Palace,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Dovin,Coventry City,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Phillips,Hull City,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Sels,Nott'm Forest,GKP,5.0,105.0,OK,21.0,5.5,1.0,105.0
Pope,Newcastle,GKP,5.0,96.0,OK,19.2,5.1,1.0,96.0
Rushworth,Coventry City,GKP,4.5,108.0,OK,24.0,5.7,1.0,108.0
Lecomte,Fulham,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Woodman,Liverpool,GKP,4.0,6.0,OK,1.5,0.3,1.0,6.0
Tzolakis,Hull City,GKP,4.5,108.0,OK,24.0,5.7,1.0,108.0
Austin,Spurs,GKP,4.0,96.0,OK,24.0,5.1,1.0,96.0
Suzuki,Aston Villa,GKP,5.0,120.0,OK,24.0,6.3,1.0,120.0
Calafiori,Arsenal,DEF,5.5,109.0,OK,19.82,5.7,1.0,109.0
Gabriel,Arsenal,DEF,8.0,209.0,OK,26.12,11.0,1.08,225.72
O'Reilly,Man City,DEF,6.5,160.0,OK,24.62,8.4,1.0,160.0
Shaw,Man Utd,DEF,4.5,113.0,OK,25.11,5.9,1.0,113.0
Virgil,Liverpool,DEF,6.5,175.0,OK,26.92,9.2,1.0,175.0
Diop,Ipswich Town,DEF,4.0,31.0,OK,7.75,1.6,1.0,31.0
Maguire,Man Utd,DEF,5.0,90.0,OK,18.0,4.7,1.0,90.0
Guéhi,Man City,DEF,6.0,179.0,OK,29.83,9.4,1.0,179.0
Pedro Porro,Spurs,DEF,5.5,117.0,OK,21.27,6.2,1.0,117.0
van Ewijk,Coventry City,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0
Konsa,Arsenal,DEF,4.5,100.0,OK,22.22,5.3,1.0,100.0
Gvardiol,Man City,DEF,5.5,79.0,OK,14.36,4.2,1.0,79.0
Van Hecke,Spurs,DEF,5.0,148.0,OK,29.6,7.8,1.0,148.0
James,Chelsea,DEF,5.5,115.0,OK,20.91,6.1,1.0,115.0
N.Williams,Nott'm Forest,DEF,5.0,128.0,OK,25.6,6.7,1.0,128.0
Muñoz,Crystal Palace,DEF,5.5,136.0,OK,24.73,7.2,1.0,136.0
Lacroix,Chelsea,DEF,6.0,154.0,OK,25.67,8.1,1.0,154.0
Cash,Aston Villa,DEF,4.5,117.0,OK,26.0,6.2,1.0,117.0
Tarkowski,Everton,DEF,6.0,170.0,OK,28.33,8.9,1.0,170.0
Senesi,Spurs,DEF,6.0,175.0,OK,29.17,9.2,1.0,175.0
Thomas,Coventry City,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0
Hume,Sunderland,DEF,4.5,110.0,OK,24.44,5.8,1.0,110.0
Mitchell,Crystal Palace,DEF,4.5,135.0,OK,30.0,7.1,1.0,135.0
Mosquera,Arsenal,DEF,5.5,40.0,OK,7.27,2.1,1.0,40.0
Ballard,Sunderland,DEF,5.0,116.0,OK,23.2,6.1,1.0,116.0
Davis,Ipswich Town,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0
White,Arsenal,DEF,5.5,45.0,OK,8.18,2.4,1.0,45.0
Truffert,Bournemouth,DEF,5.5,165.0,OK,30.0,8.7,1.0,165.0
Robertson,Spurs,DEF,4.5,55.0,OK,12.22,2.9,1.0,55.0
Kayode,Brentford,DEF,4.5,113.0,OK,25.11,5.9,1.0,113.0
Kerkez,Liverpool,DEF,5.5,85.0,OK,15.45,4.5,1.0,85.0
O'Nien,Sunderland,DEF,4.0,26.0,OK,6.5,1.4,1.0,26.0
Ajer,Brentford,DEF,4.5,76.0,OK,16.89,4.0,1.0,76.0
Rodon,Leeds,DEF,4.5,109.0,OK,24.22,5.7,1.0,109.0
Frimpong,Liverpool,DEF,5.5,63.0,OK,11.45,3.3,1.0,63.0
Hall,Newcastle,DEF,5.0,79.0,OK,15.8,4.2,1.0,79.0
Aina,Nott'm Forest,DEF,4.5,67.0,OK,14.89,3.5,1.0,67.0
O'Shea,Ipswich Town,DEF,4.0,88.0,OK,22.0,4.6,1.0,88.0
Muharemović,Leeds,DEF,5.0,110.0,OK,22.0,5.8,1.0,110.0
Palestra,Chelsea,DEF,5.5,121.0,OK,22.0,6.4,1.0,121.0
F.Kadıoğlu,Brighton,DEF,4.5,99.0,DOUBT,22.0,5.2,1.0,99.0
