Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Roefs,Sunderland,GKP,4.8,80,OK,16.67,16.0,1.0,80.0,SUN,1146.665158371041,1187.1538461538462,1187.1538461538462,0.07,0.0,0.07682239357221539
Raya,Arsenal,GKP,6.0,75,OK,12.5,9.0,1.0,75.0,ARS,1153.366515837104,1193.452488687783,1193.452488687783,0.06,0.0,0.06812168961111341
Pickford,Everton,GKP,5.5,70,OK,12.73,4.0,1.0,70.0,EVE,1117.1538461538464,1155.3891402714933,1155.3891402714933,0.06,0.0,0.06300907414007151
Sánchez,Chelsea,GKP,4.9,67,OK,13.67,10.0,1.0,67.0,CHE,1166.0723981900453,1217.470588235294,1217.470588235294,0.06,0.0,0.060781755810020786
Henderson,Crystal Palace,GKP,5.1,64,OK,12.55,1.0,1.0,64.0,CRY,1146.9095022624435,1177.4705882352944,1177.4705882352944,0.05,0.0,0.05494829395014237
Vicario,Spurs,GKP,4.8,60,OK,12.5,3.0,1.0,60.0,TOT,1156.665158371041,1193.5837104072398,1193.5837104072398,0.05,0.0,0.05202818994472709
Martinez,Aston Villa,GKP,5.0,57,OK,11.4,3.0,1.0,57.0,AVL,1245.1312217194572,1230.4027149321266,1230.4027149321266,0.05,0.0,0.04803305396092219
Donnarumma,Man City,GKP,5.7,57,OK,10.0,14.0,1.0,57.0,MCI,1143.7239819004526,1192.9276018099547,1192.9276018099547,0.05,0.0,0.05599669242177691
Kelleher,Brentford,GKP,4.5,56,OK,12.44,16.0,1.0,56.0,BRE,1140.2443438914029,1189.6425339366515,1189.6425339366515,0.05,0.0,0.05648755662562617
Verbruggen,Brighton,GKP,4.4,56,OK,12.73,12.0,1.0,56.0,BHA,1207.158371040724,1231.904977375566,1231.904977375566,0.05,0.0,0.05227675931401536
Petrović,Bournemouth,GKP,4.5,55,OK,12.22,3.0,1.0,55.0,BOU,1188.2986425339368,1203.89592760181,1203.89592760181,0.05,0.0,0.04742934890870891
Pope,Newcastle,GKP,5.1,55,DOUBT,10.78,55.0,1.0,55.0,NEW,1154.9909502262444,1179.9411764705883,1179.9411764705883,0.05,0.0,0.07924123834687671
Leno,Fulham,GKP,4.9,52,OK,10.61,10.0,1.0,52.0,FUL,1126.5701357466062,1179.7330316742084,1179.7330316742084,0.04,0.0,0.05001131477709888
Dúbravka,Burnley,GKP,4.0,46,OK,11.5,3.0,1.0,46.0,BUR,1154.9819004524886,1154.0950226244345,1154.0950226244345,0.04,0.0,0.04167767736370587
A.Becker,Liverpool,GKP,5.4,42,OK,7.78,10.0,1.0,42.0,LIV,1102.900452488688,1134.2171945701357,1134.2171945701357,0.04,0.0,0.043201602157486974
Sels,Nott'm Forest,GKP,4.6,40,OK,8.7,0.0,1.0,40.0,NFO,1173.633484162896,1191.886877828054,1191.886877828054,0.03,0.0,0.033560231884498144
Lammens,Man Utd,GKP,5.0,35,OK,7.0,11.0,1.0,35.0,MUN,1135.660633484163,1160.3755656108597,1160.3755656108597,0.03,0.0,0.03679843084038169
Areola,West Ham,GKP,4.3,35,OK,8.14,3.0,1.0,35.0,WHU,1093.4524886877828,1151.9049773755655,1151.9049773755655,0.03,0.0,0.032207517745540544
Perri,Leeds,GKP,4.5,28,OK,6.22,3.0,1.0,28.0,LEE,1161.787330316742,1231.1402714932126,1231.1402714932126,0.02,0.0,0.024448879381951033
Johnstone,Wolves,GKP,4.4,21,OK,4.77,-1.0,1.0,21.0,WOL,1166.5656108597288,1232.2760180995476,1232.2760180995476,0.02,0.0,0.016473581975008537
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52,0.0,1.0,19.0,LIV,1102.900452488688,1134.2171945701357,1134.2171945701357,0.02,0.0,0.016751641652903115
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1143.7239819004526,1192.9276018099547,1192.9276018099547,0.01,0.0,0.009221012225142905
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1135.660633484163,1160.3755656108597,1160.3755656108597,0.01,0.0,0.009479689443658046
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0,LEE,1161.787330316742,1231.1402714932126,1231.1402714932126,0.01,0.0,0.008122551289684728
