Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP
Pope,Newcastle,GKP,5.0,32,6.4,1.0,32.0
Vicario,Spurs,GKP,5.1,30,5.88,1.0,30.0
Roefs,Sunderland,GKP,4.5,29,6.44,1.0,29.0
Raya,Arsenal,GKP,5.5,26,4.73,1.0,26.0
Pickford,Everton,GKP,5.5,25,4.55,1.0,25.0
Henderson,Crystal Palace,GKP,5.0,22,4.4,1.0,22.0
Petrović,Bournemouth,GKP,4.5,21,4.67,1.0,21.0
A.Becker,Liverpool,GKP,5.5,18,3.27,1.0,18.0
Dúbravka,Burnley,GKP,4.0,17,4.25,1.0,17.0
Leno,Fulham,GKP,5.0,17,3.4,1.0,17.0
Sánchez,Chelsea,GKP,5.0,16,3.2,1.0,16.0
Perri,Leeds,GKP,4.5,12,2.67,1.0,12.0
Martinez,Aston Villa,GKP,5.0,11,2.2,1.0,11.0
Trafford,Man City,GKP,4.9,11,2.24,1.0,11.0
Kelleher,Brentford,GKP,4.5,10,2.22,1.0,10.0
Sels,Nott'm Forest,GKP,5.0,10,2.0,1.0,10.0
Bayindir,Man Utd,GKP,5.0,9,1.8,1.0,9.0
Hermansen,West Ham,GKP,4.5,9,2.0,1.0,9.0
Verbruggen,Brighton,GKP,4.5,8,1.78,1.0,8.0
M.Bizot,Aston Villa,GKP,4.5,7,1.56,1.0,7.0
Donnarumma,Man City,GKP,5.6,7,1.25,1.0,7.0
Darlow,Leeds,GKP,4.0,6,1.5,1.0,6.0
José Sá,Wolves,GKP,4.5,5,1.11,1.0,5.0
Johnstone,Wolves,GKP,4.5,3,0.67,1.0,3.0
Jörgensen,Chelsea,GKP,4.4,1,0.23,1.0,1.0
Areola,West Ham,GKP,4.4,1,0.23,1.0,1.0
Arrizabalaga,Arsenal,GKP,4.4,0,0.0,1.0,0.0
Chalobah,Chelsea,DEF,5.1,38,7.45,1.2,45.6
Senesi,Bournemouth,DEF,4.8,37,7.71,1.0,37.0
Guéhi,Crystal Palace,DEF,4.7,36,7.66,1.0,36.0
Calafiori,Arsenal,DEF,5.7,35,6.14,1.2,42.0
J.Timber,Arsenal,DEF,5.8,35,6.03,1.0,35.0
Burn,Newcastle,DEF,5.0,32,6.4,1.0,32.0
Livramento,Newcastle,DEF,5.1,31,6.08,1.0,31.0
Lacroix,Crystal Palace,DEF,5.1,30,5.88,1.0,30.0
Mitchell,Crystal Palace,DEF,5.0,30,6.0,1.0,30.0
Romero,Spurs,DEF,5.1,29,5.69,1.0,29.0
Van de Ven,Spurs,DEF,4.7,28,5.96,1.0,28.0
Muñoz,Crystal Palace,DEF,5.6,26,4.64,1.0,26.0
Richards,Crystal Palace,DEF,4.5,26,5.78,1.0,26.0
Tarkowski,Everton,DEF,5.5,26,4.73,1.0,26.0
Virgil,Liverpool,DEF,6.1,26,4.26,1.0,26.0
Gabriel,Arsenal,DEF,6.1,25,4.1,1.0,25.0
Cash,Aston Villa,DEF,4.6,25,5.43,1.0,25.0
Truffert,Bournemouth,DEF,4.5,24,5.33,1.0,24.0
Andersen,Fulham,DEF,4.5,23,5.11,1.0,23.0
Schär,Newcastle,DEF,5.5,23,4.18,1.0,23.0
Mings,Aston Villa,DEF,4.5,22,4.89,1.0,22.0
Rodon,Leeds,DEF,4.0,22,5.5,1.0,22.0
Alderete,Sunderland,DEF,4.0,22,5.5,1.0,22.0
Pedro Porro,Spurs,DEF,5.6,22,3.93,1.0,22.0
Diakité,Bournemouth,DEF,4.5,21,4.67,1.0,21.0
Gudmundsson,Spurs,DEF,4.0,21,5.25,1.0,21.0
Trippier,Newcastle,DEF,5.0,21,4.2,1.0,21.0
Konaté,Liverpool,DEF,5.5,20,3.64,1.0,20.0
Ekdal,Burnley,DEF,4.0,19,4.75,1.0,19.0
Ballard,Sunderland,DEF,4.6,19,4.13,1.0,19.0
Hume,Sunderland,DEF,4.5,19,4.22,1.0,19.0
Spence,Spurs,DEF,4.5,19,4.22,1.0,19.0
Saliba,Arsenal,DEF,6.0,18,3.0,1.0,18.0
Mukiele,Sunderland,DEF,4.0,18,4.5,1.0,18.0
Diouf,West Ham,DEF,4.4,18,4.09,1.0,18.0
Bassey,Fulham,DEF,4.5,17,3.78,1.0,17.0
Bogle,Leeds,DEF,4.5,17,3.78,1.0,17.0
Botman,Newcastle,DEF,4.9,17,3.47,1.0,17.0
Estève,Burnley,DEF,4.0,16,4.0,1.0,16.0
Van den Berg,Brentford,DEF,4.5,16,3.56,1.0,16.0
O'Brien,Everton,DEF,5.0,16,3.2,1.0,16.0
Rúben,Man City,DEF,5.5,16,2.91,1.0,16.0
Digne,Aston Villa,DEF,4.5,15,3.33,1.0,15.0
Collins,Brentford,DEF,5.0,15,3.0,1.0,15.0
Lewis-Potter,Brentford,DEF,5.0,15,3.0,1.0,15.0
Kayode,Brentford,DEF,4.5,15,3.33,1.0,15.0
Tete,Fulham,DEF,4.5,15,3.33,1.0,15.0
De Ligt,Man Utd,DEF,5.0,15,3.0,1.0,15.0
Hartman,Burnley,DEF,4.0,14,3.5,1.0,14.0
Maguire,Man Utd,DEF,4.4,14,3.18,1.0,14.0
N.Williams,Nott'm Forest,DEF,5.0,14,2.8,1.0,14.0
Reinildo,Sunderland,DEF,4.0,14,3.5,1.0,14.0
Dunk,Brighton,DEF,4.5,13,2.89,1.0,13.0
Lewis,Man City,DEF,5.0,13,2.6,1.0,13.0
Semenyo,Bournemouth,MID,7.7,41,5.32,1.0,41.0
Anthony,Burnley,MID,5.5,34,6.18,1.0,34.0
Caicedo,Chelsea,MID,5.6,33,5.89,1.0,33.0
Enzo,Chelsea,MID,6.7,30,4.48,1.2,36.0
M.Salah,Liverpool,MID,14.5,30,2.07,1.5,45.0
Stach,Leeds,MID,5.0,29,5.8,1.0,29.0
Ndiaye,Everton,MID,6.5,28,4.31,1.0,28.0
Zubimendi,Arsenal,MID,5.4,27,5.0,1.0,27.0
Cullen,Burnley,MID,5.0,27,5.4,1.0,27.0
Gravenberch,Liverpool,MID,5.6,27,4.82,1.0,27.0
Iwobi,Fulham,MID,6.5,26,4.0,1.0,26.0
Reijnders,Man City,MID,5.6,26,4.64,1.0,26.0
B.Fernandes,Man Utd,MID,9.0,26,2.89,1.0,26.0
Garner,Everton,MID,5.0,25,5.0,1.0,25.0
Grealish,Everton,MID,6.8,25,3.68,1.0,25.0
Gakpo,Liverpool,MID,7.7,25,3.25,1.0,25.0
Kudus,Spurs,MID,6.6,25,3.79,1.0,25.0
Minteh,Brighton,MID,5.9,24,4.07,1.0,24.0
L.Paquetá,West Ham,MID,5.9,24,4.07,1.0,24.0
Tavernier,Bournemouth,MID,5.5,23,4.18,1.0,23.0
Szoboszlai,Liverpool,MID,6.5,21,3.23,1.0,21.0
Ndoye,Nott'm Forest,MID,6.1,21,3.44,1.0,21.0
Rice,Arsenal,MID,6.5,20,3.08,1.0,20.0
Gana,Everton,MID,5.4,20,3.7,1.0,20.0
Xhaka,Sunderland,MID,5.0,20,4.0,1.0,20.0
Johnson,Spurs,MID,7.0,20,2.86,1.0,20.0
Bergvall,Spurs,MID,5.4,20,3.7,1.0,20.0
J.Palhinha,Spurs,MID,5.5,20,3.64,1.0,20.0
Mbeumo,Man Utd,MID,8.1,19,2.35,1.0,19.0
P.M.Sarr,Spurs,MID,5.0,19,3.8,1.0,19.0
Mitoma,Brighton,MID,6.4,18,2.81,1.0,18.0
