Surname,Team,Position,Price,TP,Status
Muñoz,Crystal Palace,DEF,6.1,89,OK
Guehi,Crystal Palace,DEF,5.1,83,OK
Gabriel,Arsenal,DEF,6.3,81,INJURY
J.Timber,Arsenal,DEF,6.4,78,OK
Lacroix,Crystal Palace,DEF,5.1,78,OK
Cash,Aston Villa,DEF,4.7,72,OK
Calafiori,Arsenal,DEF,5.8,71,OK
Chalobah,Chelsea,DEF,5.2,71,OK
Mitchell,Crystal Palace,DEF,5.0,68,OK
Richards,Crystal Palace,DEF,4.6,68,OK
Keane,Everton,DEF,4.6,67,DOUBT
Tarkowski,Everton,DEF,5.4,64,OK
Senesi,Bournemouth,DEF,5.0,63,OK
Van Hecke,Brighton,DEF,4.5,60,OK
Burn,Newcastle,DEF,5.1,59,OK
Van de Ven,Spurs,DEF,4.7,58,OK
Cucurella,Chelsea,DEF,6.2,57,OK
Ballard,Sunderland,DEF,4.6,57,OK
O'Reilly,Man City,DEF,5.2,56,OK
James,Chelsea,DEF,5.6,55,OK
Mukiele,Sunderland,DEF,4.2,55,OK
Virgil,Liverpool,DEF,6.0,54,OK
Andersen,Fulham,DEF,4.5,53,OK
Rúben,Man City,DEF,5.6,53,OK
Romero,Spurs,DEF,5.0,52,OK
Digne,Aston Villa,DEF,4.5,51,OK
Rodon,Leeds,DEF,4.1,51,OK
Konaté,Liverpool,DEF,5.4,51,OK
Matheus N.,Man City,DEF,5.3,51,OK
Truffert,Bournemouth,DEF,4.5,50,OK
Alderete,Sunderland,DEF,4.1,49,OK
Pedro Porro,Spurs,DEF,5.4,48,OK
Thiaw,Newcastle,DEF,5.0,47,OK
Konsa,Aston Villa,DEF,4.4,46,OK
Tete,Fulham,DEF,4.5,44,OK
Livramento,Newcastle,DEF,4.9,44,OK
Hume,Sunderland,DEF,4.5,44,OK
Gusto,Chelsea,DEF,4.9,43,OK
Bassey,Fulham,DEF,4.5,43,OK
De Ligt,Man Utd,DEF,5.0,43,OK
Hartman,Burnley,DEF,4.0,42,OK
N.Williams,Nott'm Forest,DEF,4.7,42,OK
Saliba,Arsenal,DEF,6.0,41,OK
Gvardiol,Man City,DEF,5.8,41,OK
Van den Berg,Brentford,DEF,4.5,40,OK
O'Brien,Everton,DEF,4.9,40,OK
Dalot,Man Utd,DEF,4.4,40,DOUBT
Pau,Aston Villa,DEF,4.3,39,OK
Estève,Burnley,DEF,3.9,38,OK
Collins,Brentford,DEF,4.9,38,OK
Kayode,Brentford,DEF,4.5,38,OK
Diouf,West Ham,DEF,4.2,38,OK
Dunk,Brighton,DEF,4.5,36,OK
Diakité,Bournemouth,DEF,4.4,35,OK
Walker,Burnley,DEF,4.4,34,OK
Bogle,Leeds,DEF,4.4,34,OK
Milenković,Fulham,DEF,5.2,34,OK
Mykolenko,Everton,DEF,4.9,33,OK
Gudmundsson,Leeds,DEF,3.9,33,OK
Maguire,Man Utd,DEF,4.4,33,DOUBT
