Team,Gameweek,Opponent,Location,FDR
ARS,GW5,MCI,H,4
ARS,GW6,NEW,A,3
ARS,GW7,WHU,H,2
ARS,GW8,FUL,A,2
ARS,GW9,CRY,H,2
AVL,GW5,SUN,A,2
AVL,GW6,FUL,H,2
AVL,GW7,BUR,H,1
AVL,GW8,TOT,A,4
AVL,GW9,MCI,H,5
BHA,GW5,TOT,H,3
BHA,GW6,CHE,A,3
BHA,GW7,WOL,A,2
BHA,GW8,NEW,H,3
BHA,GW9,MUN,A,3
BOU,GW5,NEW,H,3
BOU,GW6,LEE,A,1
BOU,GW7,FUL,H,2
BOU,GW8,CRY,A,2
BOU,GW9,NFO,H,2
BRE,GW5,FUL,A,2
BRE,GW6,MUN,H,4
BRE,GW7,MCI,H,5
BRE,GW8,WHU,A,2
BRE,GW9,LIV,H,5
BUR,GW5,NFO,H,2
BUR,GW6,MCI,A,5
BUR,GW7,AVL,A,2
BUR,GW8,LEE,H,1
BUR,GW9,WOL,A,3
CHE,GW5,MUN,A,2
CHE,GW6,BHA,H,3
CHE,GW7,LIV,H,5
CHE,GW8,NFO,A,2
CHE,GW9,SUN,H,1
CRY,GW5,WHU,A,2
CRY,GW6,LIV,H,5
CRY,GW7,EVE,A,2
CRY,GW8,BOU,H,2
CRY,GW9,ARS,A,5
EVE,GW5,LIV,A,5
EVE,GW6,WHU,H,2
EVE,GW7,CRY,H,2
EVE,GW8,MCI,A,5
EVE,GW9,TOT,H,3
FUL,GW5,BRE,H,3
FUL,GW6,AVL,A,2
FUL,GW7,BOU,A,2
FUL,GW8,ARS,H,5
FUL,GW9,NEW,A,3
LEE,GW5,WOL,A,2
LEE,GW6,BOU,H,2
LEE,GW7,TOT,H,3
LEE,GW8,BUR,A,1
LEE,GW9,WHU,H,2
LIV,GW5,EVE,H,2
LIV,GW6,CRY,A,2
LIV,GW7,CHE,A,3
LIV,GW8,MUN,H,4
LIV,GW9,BRE,A,3
MCI,GW5,ARS,A,5
MCI,GW6,BUR,H,1
MCI,GW7,BRE,A,3
MCI,GW8,EVE,H,2
MCI,GW9,AVL,A,3
MUN,GW5,CHE,H,2
MUN,GW6,BRE,A,3
MUN,GW7,SUN,H,1
MUN,GW8,LIV,A,5
MUN,GW9,BHA,H,3
NEW,GW5,BOU,A,2
NEW,GW6,ARS,H,5
NEW,GW7,NFO,H,2
NEW,GW8,BHA,A,3
NEW,GW9,FUL,H,2
NFO,GW5,BUR,A,1
NFO,GW6,SUN,H,1
NFO,GW7,NEW,A,3
NFO,GW8,CHE,H,3
NFO,GW9,BOU,A,2
SUN,GW5,AVL,H,3
SUN,GW6,NFO,A,2
SUN,GW7,MUN,A,4
SUN,GW8,WOL,H,2
SUN,GW9,CHE,A,3
TOT,GW5,BHA,A,3
TOT,GW6,WOL,H,2
TOT,GW7,LEE,A,2
TOT,GW8,AVL,H,3
TOT,GW9,EVE,A,2
WHU,GW5,CRY,H,2
WHU,GW6,EVE,A,2
WHU,GW7,ARS,A,5
WHU,GW8,BRE,H,3
WHU,GW9,LEE,A,1
WOL,GW5,LEE,H,1
WOL,GW6,TOT,A,3
WOL,GW7,BHA,H,3
WOL,GW8,SUN,A,2
WOL,GW9,BUR,H,1
