Surname,Team,Position,Price,TP,Status
Gabriel,Arsenal,DEF,6.6,121,OK
Chalobah,Chelsea,DEF,5.3,114,OK
Tarkowski,Everton,DEF,5.6,112,OK
Guéhi,Crystal Palace,DEF,4.6,111,OK
J.Timber,Arsenal,DEF,6.3,110,DOUBT
Matheus N.,Man City,DEF,5.4,105,OK
Mukiele,Sunderland,DEF,4.5,102,OK
Lacroix,Crystal Palace,DEF,5.1,100,OK
James,Chelsea,DEF,5.7,98,OK
Keane,Everton,DEF,4.7,96,DOUBT
Van de Ven,Spurs,DEF,4.6,96,DOUBT
Cash,Aston Villa,DEF,4.8,95,OK
Rúben,Man City,DEF,5.5,95,INJURY
Senesi,Bournemouth,DEF,4.6,94,OK
Romero,Spurs,DEF,5.0,92,OK
Collins,Brentford,DEF,5.0,91,OK
Muñoz,Crystal Palace,DEF,5.8,90,INJURY
Virgil,Liverpool,DEF,5.9,90,OK
Andersen,Fulham,DEF,4.6,86,OK
Van Hecke,Brighton,DEF,4.5,85,OK
Mitchell,Crystal Palace,DEF,5.1,85,OK
Thiaw,Newcastle,DEF,5.1,85,OK
Richards,Crystal Palace,DEF,4.4,84,INJURY
O'Reilly,Man City,DEF,5.0,84,DOUBT
Ballard,Sunderland,DEF,4.6,83,OK
Konaté,Liverpool,DEF,5.4,81,DOUBT
O'Brien,Everton,DEF,4.9,80,OK
Alderete,Sunderland,DEF,4.1,79,INJURY
Pedro Porro,Spurs,DEF,5.2,79,INJURY
Cucurella,Chelsea,DEF,6.0,78,INJURY
Calafiori,Arsenal,DEF,5.6,77,INJURY
Gvardiol,Man City,DEF,5.9,77,OK
Truffert,Bournemouth,DEF,4.5,74,OK
Gusto,Chelsea,DEF,4.9,74,OK
Dorgu,Man Utd,DEF,4.4,74,OK
Dalot,Man Utd,DEF,4.5,71,OK
Saliba,Arsenal,DEF,6.0,70,DOUBT
Konsa,Aston Villa,DEF,4.4,70,OK
Digne,Aston Villa,DEF,4.5,68,OK
Struijk,Leeds,DEF,4.3,68,OK
Rodon,Leeds,DEF,3.9,68,INJURY
Lewis-Potter,Brentford,DEF,4.9,67,OK
Burn,Newcastle,DEF,5.0,67,INJURY
Milenković,Fulham,DEF,5.1,66,INJURY
Hume,Sunderland,DEF,4.5,66,OK
Kayode,Brentford,DEF,4.5,65,OK
Tete,Fulham,DEF,4.5,65,OK
Mykolenko,Everton,DEF,4.9,64,OK
Murillo,Nott'm Forest,DEF,5.2,62,OK
F.Kadıoğlu,Brighton,DEF,4.4,59,OK
Bassey,Fulham,DEF,4.4,59,INJURY
Gudmundsson,Leeds,DEF,3.8,55,OK
Spence,Spurs,DEF,4.3,55,INJURY
Van den Berg,Brentford,DEF,4.5,53,OK
Dunk,Brighton,DEF,4.5,53,OK
Bogle,Leeds,DEF,4.4,53,OK
Kerkez,Bournemouth,DEF,5.6,53,OK
Shaw,Man Utd,DEF,4.5,53,OK
Hall,Newcastle,DEF,5.3,52,OK
