Surname,Team,Position,CP,SP,PP,Status
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
Roefs,Sunderland,GKP,5.0,4.9,4.9,OK
Gabriel,Arsenal,DEF,7.0,6.8,6.6,OK
Senesi,Bournemouth,DEF,4.8,4.7,4.6,OK
Chalobah,Chelsea,DEF,5.7,5.5,5.3,OK
Guéhi,Man City,DEF,5.2,4.9,4.6,OK
Tarkowski,Everton,DEF,5.8,5.7,5.6,OK
Rice,Arsenal,MID,7.4,7.1,6.9,OK
Semenyo,Man City,MID,7.8,7.6,7.4,OK
Gravenberch,Liverpool,MID,5.6,5.6,5.7,OK
Bruno G.,Newcastle,MID,7.2,7.0,6.8,OK
Stach,Leeds,MID,4.8,4.8,4.9,OK
Thiago,Brentford,FWD,7.2,6.8,6.5,OK
Marc Guiu,Chelsea,FWD,4.2,4.2,4.2,OK
Haaland,Man City,FWD,15.0,14.5,14.1,OK
