Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.7,54,OK,11.49,1.0,54.0
Raya,Arsenal,GKP,5.9,52,OK,8.81,1.0,52.0
Pope,Newcastle,GKP,5.2,49,OK,9.42,1.0,49.0
Vicario,Spurs,GKP,5.1,46,OK,9.02,1.0,46.0
Petrović,Bournemouth,GKP,4.5,39,OK,8.67,1.0,39.0
Henderson,Crystal Palace,GKP,5.0,36,OK,7.2,1.0,36.0
Pickford,Everton,GKP,5.5,35,OK,6.36,1.0,35.0
Dúbravka,Burnley,GKP,4.0,33,OK,8.25,1.0,33.0
Leno,Fulham,GKP,5.0,32,OK,6.4,1.0,32.0
Sánchez,Chelsea,GKP,4.8,31,OK,6.46,1.0,31.0
Kelleher,Brentford,GKP,4.5,30,OK,6.67,1.0,30.0
Martinez,Aston Villa,GKP,5.0,26,OK,5.2,1.0,26.0
Donnarumma,Man City,GKP,5.7,25,OK,4.39,1.0,25.0
Sels,Nott'm Forest,GKP,4.8,21,OK,4.38,1.0,21.0
Verbruggen,Brighton,GKP,4.4,20,OK,4.55,1.0,20.0
A.Becker,Liverpool,GKP,5.4,20,INJURY,3.7,1.0,20.0
Perri,Leeds,GKP,4.5,15,OK,3.33,1.0,15.0
Lammens,Man Utd,GKP,5.0,15,OK,3.0,1.0,15.0
Areola,West Ham,GKP,4.3,13,OK,3.02,1.0,13.0
Johnstone,Wolves,GKP,4.5,13,OK,2.89,1.0,13.0
Mamardashvili,Liverpool,GKP,4.3,12,OK,2.79,1.0,12.0
Trafford,Man City,GKP,4.7,11,OK,2.34,1.0,11.0
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,1.0,11.0
Darlow,Leeds,GKP,4.0,10,OK,2.5,1.0,10.0
Hermansen,West Ham,GKP,4.4,9,OK,2.05,1.0,9.0
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63,1.0,7.0
José Sá,Wolves,GKP,4.3,5,OK,1.16,1.0,5.0
Jörgensen,Chelsea,GKP,4.4,1,OK,0.23,1.0,1.0
Gabriel,Arsenal,DEF,6.6,80,OK,12.12,1.0,80.0
J.Timber,Arsenal,DEF,5.8,66,OK,11.38,1.0,66.0
Guehi,Crystal Palace,DEF,4.8,64,OK,13.33,1.0,64.0
