Surname,Team,Position,Price,TP,Status
Gabriel,Arsenal,DEF,6.6,80,OK
J.Timber,Arsenal,DEF,5.8,66,OK
Guehi,Crystal Palace,DEF,4.8,64,OK
Calafiori,Arsenal,DEF,5.7,60,OK
Van de Ven,Spurs,DEF,4.8,57,OK
Senesi,Bournemouth,DEF,4.8,56,OK
Muñoz,Crystal Palace,DEF,5.7,54,OK
Lacroix,Crystal Palace,DEF,5.0,50,OK
Chalobah,Chelsea,DEF,5.1,49,OK
Burn,Newcastle,DEF,5.2,48,OK
Mukiele,Sunderland,DEF,4.2,47,OK
Cash,Aston Villa,DEF,4.6,46,OK
Truffert,Bournemouth,DEF,4.5,45,OK
James,Chelsea,DEF,5.5,45,OK
Rodon,Leeds,DEF,4.1,45,OK
Alderete,Sunderland,DEF,4.1,45,INJURY
Mitchell,Crystal Palace,DEF,5.0,44,OK
Richards,Crystal Palace,DEF,4.5,44,OK
Pedro Porro,Spurs,DEF,5.5,44,OK
Cucurella,Chelsea,DEF,6.1,43,OK
Keane,Everton,DEF,4.5,41,OK
Virgil,Liverpool,DEF,5.9,40,OK
O'Reilly,Man City,DEF,4.9,40,OK
Hume,Sunderland,DEF,4.5,40,OK
Rúben,Man City,DEF,5.5,39,OK
Ballard,Sunderland,DEF,4.6,39,OK
Saliba,Arsenal,DEF,6.0,38,OK
Tarkowski,Everton,DEF,5.4,38,OK
Andersen,Fulham,DEF,4.5,36,OK
Portman,Burnley,DEF,4.0,35,OK
Van Hecke,Brighton,DEF,4.4,35,OK
Digne,Aston Villa,DEF,4.5,33,OK
Romero,Spurs,DEF,5.0,33,OK
Van den Berg,Brentford,DEF,4.5,32,OK
Matheus N.,Man City,DEF,5.3,32,OK
Diakité,Bournemouth,DEF,4.5,30,OK
Collins,Brentford,DEF,4.9,30,OK
Kayode,Brentford,DEF,4.5,30,OK
De Ligt,Man Utd,DEF,5.0,30,OK
Trippier,Newcastle,DEF,5.0,30,OK
Spence,Spurs,DEF,4.5,30,OK
Diouf,West Ham,DEF,4.3,30,OK
Walker,Burnley,DEF,4.4,29,OK
Gvardiol,Man City,DEF,5.8,28,OK
Botman,Newcastle,DEF,4.9,28,OK
Konsa,Aston Villa,DEF,4.4,27,OK
Acheampong,Chelsea,DEF,3.9,27,OK
O'Brien,Everton,DEF,4.9,27,OK
Bogle,Leeds,DEF,4.5,27,OK
Maguire,Man Utd,DEF,4.4,27,OK
Shaw,Man Utd,DEF,4.5,27,OK
Bassey,Fulham,DEF,4.5,26,OK
Gudmundsson,Leeds,DEF,4.0,26,OK
Estève,Burnley,DEF,4.0,25,OK
Schär,Newcastle,DEF,5.4,25,OK
Mings,Aston Villa,DEF,4.4,24,DOUBT
