Surname,Team,Position,CP,SP,PP,Status
Pickford,Everton,GKP,5.5,5.5,5.5,OK
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
Calafiori,Arsenal,DEF,5.8,5.8,5.8,OK
J.Timber,Arsenal,DEF,6.4,6.0,5.6,OK
Senesi,Bournemouth,DEF,5.0,4.8,4.6,OK
Muñoz,Crystal Palace,DEF,6.0,5.9,5.7,OK
Guehi,Crystal Palace,DEF,5.1,4.8,4.6,OK
Rice,Arsenal,MID,7.1,7.0,6.9,OK
Semenyo,Bournemouth,MID,7.8,7.5,7.4,OK
Cullen,Burnley,MID,5.0,5.0,5.0,OK
Dewsbury-Hall,Everton,MID,4.9,4.9,4.9,OK
Foden,Man City,MID,8.2,8.3,8.2,OK
Thiago,Brentford,FWD,6.7,6.6,6.5,OK
Marc Guiu,Chelsea,FWD,4.2,4.2,4.2,OK
Haaland,Man City,FWD,14.9,14.5,14.1,OK
