Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Raya,Arsenal,GKP,5.9,66,OK,11.19,11.0,1.0,66.0,ARS,1142.0950226244345,1163.9366515837103,1163.9366515837103,0.06
Roefs,Sunderland,GKP,4.7,63,OK,13.4,4.0,1.0,63.0,SUN,1184.076923076923,1274.8552036199096,1274.8552036199096,0.05
Henderson,Crystal Palace,GKP,5.1,60,OK,11.76,9.0,1.0,60.0,CRY,1170.2488687782807,1192.678733031674,1192.678733031674,0.05
Pickford,Everton,GKP,5.5,60,OK,10.91,8.0,1.0,60.0,EVE,1180.6515837104073,1164.493212669683,1164.493212669683,0.05
Martinez,Aston Villa,GKP,5.1,54,DOUBT,10.59,11.0,1.0,54.0,AVL,1195.606334841629,1183.8371040723982,1183.8371040723982,0.05
Vicario,Spurs,GKP,5.0,51,OK,10.2,3.0,1.0,51.0,TOT,1142.9140271493213,1205.4343891402716,1205.4343891402716,0.04
Sánchez,Chelsea,GKP,4.8,47,OK,9.79,4.0,1.0,47.0,CHE,1178.606334841629,1173.3529411764707,1173.3529411764707,0.04
Petrović,Bournemouth,GKP,4.5,45,OK,10.0,4.0,1.0,45.0,BOU,1142.0090497737558,1191.769230769231,1191.769230769231,0.04
Verbruggen,Brighton,GKP,4.4,41,OK,9.32,8.0,1.0,41.0,BHA,1128.0226244343894,1186.5701357466064,1186.5701357466064,0.03
Dúbravka,Burnley,GKP,4.0,40,OK,10.0,3.0,1.0,40.0,BUR,1164.3936651583713,1178.972850678733,1178.972850678733,0.03
Leno,Fulham,GKP,4.9,40,OK,8.16,1.0,1.0,40.0,FUL,1142.6380090497737,1158.1764705882354,1158.1764705882354,0.03
Kelleher,Brentford,GKP,4.5,38,OK,8.44,4.0,1.0,38.0,BRE,1128.7239819004524,1170.0045248868778,1170.0045248868778,0.03
Sels,Nott'm Forest,GKP,4.7,38,OK,8.09,8.0,1.0,38.0,NFO,1162.0090497737556,1173.7058823529414,1173.7058823529414,0.03
Donnarumma,Man City,GKP,5.7,37,OK,6.49,5.0,1.0,37.0,MCI,1129.4886877828055,1155.2081447963803,1155.2081447963803,0.03
A.Becker,Liverpool,GKP,5.4,31,OK,5.74,9.0,1.0,31.0,LIV,1125.6787330316743,1196.5339366515839,1196.5339366515839,0.03
Areola,West Ham,GKP,4.3,29,OK,6.74,5.0,1.0,29.0,WHU,1159.769230769231,1220.5475113122172,1220.5475113122172,0.02
Perri,Leeds,GKP,4.5,23,OK,5.11,5.0,1.0,23.0,LEE,1174.076923076923,1224.9547511312217,1224.9547511312217,0.02
Lammens,Man Utd,GKP,5.1,22,OK,4.31,4.0,1.0,22.0,MUN,1108.3393665158374,1175.3348416289593,1175.3348416289593,0.02
Johnstone,Wolves,GKP,4.5,21,OK,4.67,5.0,1.0,21.0,WOL,1213.5882352941178,1248.7194570135748,1248.7194570135748,0.02
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0,LIV,1125.6787330316743,1196.5339366515839,1196.5339366515839,0.02
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1129.4886877828055,1155.2081447963803,1155.2081447963803,0.01
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1108.3393665158374,1175.3348416289593,1175.3348416289593,0.01
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0,LEE,1174.076923076923,1224.9547511312217,1224.9547511312217,0.01
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1159.769230769231,1220.5475113122172,1220.5475113122172,0.01
M.Bizot,Aston Villa,GKP,4.3,8,OK,1.86,1.0,1.0,8.0,AVL,1195.606334841629,1183.8371040723982,1183.8371040723982,0.01
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0,WOL,1213.5882352941178,1248.7194570135748,1248.7194570135748,0.0
Ramsdale,Newcastle,GKP,4.8,3,OK,0.62,3.0,1.0,3.0,NEW,1086.556561085973,1165.6199095022623,1165.6199095022623,0.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,1.0,1.0,1.0,CHE,1178.606334841629,1173.3529411764707,1173.3529411764707,0.0
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0,ARS,1142.0950226244345,1163.9366515837103,1163.9366515837103,0.0
Muñoz,Crystal Palace,DEF,6.1,89,OK,14.59,15.0,1.0,89.0,CRY,1170.2488687782807,1192.678733031674,1192.678733031674,0.07
Guehi,Crystal Palace,DEF,5.1,83,OK,16.27,83.0,1.0,83.0,CRY,1170.2488687782807,1192.678733031674,1192.678733031674,0.07
J.Timber,Arsenal,DEF,6.4,78,OK,12.19,6.0,1.0,78.0,ARS,1142.0950226244345,1163.9366515837103,1163.9366515837103,0.07
Lacroix,Crystal Palace,DEF,5.1,78,OK,15.29,11.0,1.0,78.0,CRY,1170.2488687782807,1192.678733031674,1192.678733031674,0.07
Cash,Aston Villa,DEF,4.7,72,OK,15.32,18.0,1.0,72.0,AVL,1195.606334841629,1183.8371040723982,1183.8371040723982,0.06
Calafiori,Arsenal,DEF,5.8,71,OK,12.24,8.0,1.0,71.0,ARS,1142.0950226244345,1163.9366515837103,1163.9366515837103,0.06
Chalobah,Chelsea,DEF,5.2,71,OK,13.65,10.0,1.0,71.0,CHE,1178.606334841629,1173.3529411764707,1173.3529411764707,0.06
Mitchell,Crystal Palace,DEF,5.0,68,OK,13.6,7.0,1.0,68.0,CRY,1170.2488687782807,1192.678733031674,1192.678733031674,0.06
Richards,Crystal Palace,DEF,4.6,68,OK,14.78,10.0,1.0,68.0,CRY,1170.2488687782807,1192.678733031674,1192.678733031674,0.06
Keane,Everton,DEF,4.6,67,DOUBT,14.57,2.0,1.0,67.0,EVE,1180.6515837104073,1164.493212669683,1164.493212669683,0.06
Tarkowski,Everton,DEF,5.4,64,OK,11.85,13.0,1.0,64.0,EVE,1180.6515837104073,1164.493212669683,1164.493212669683,0.05
Senesi,Bournemouth,DEF,5.0,63,OK,12.6,2.0,1.0,63.0,BOU,1142.0090497737558,1191.769230769231,1191.769230769231,0.05
Van Hecke,Brighton,DEF,4.5,60,OK,13.33,18.0,1.0,60.0,BHA,1128.0226244343894,1186.5701357466064,1186.5701357466064,0.05
Burn,Newcastle,DEF,5.1,59,OK,11.57,11.0,1.0,59.0,NEW,1086.556561085973,1165.6199095022623,1165.6199095022623,0.05
Van de Ven,Spurs,DEF,4.7,58,OK,12.34,0.0,1.0,58.0,TOT,1142.9140271493213,1205.4343891402716,1205.4343891402716,0.05
Cucurella,Chelsea,DEF,6.2,57,OK,9.19,2.0,1.0,57.0,CHE,1178.606334841629,1173.3529411764707,1173.3529411764707,0.05
Ballard,Sunderland,DEF,4.6,57,OK,12.39,7.0,1.0,57.0,SUN,1184.076923076923,1274.8552036199096,1274.8552036199096,0.04
O'Reilly,Man City,DEF,5.2,56,OK,10.77,4.0,1.0,56.0,MCI,1129.4886877828055,1155.2081447963803,1155.2081447963803,0.05
James,Chelsea,DEF,5.6,55,OK,9.82,8.0,1.0,55.0,CHE,1178.606334841629,1173.3529411764707,1173.3529411764707,0.05
Mukiele,Sunderland,DEF,4.2,55,OK,13.1,0.0,1.0,55.0,SUN,1184.076923076923,1274.8552036199096,1274.8552036199096,0.04
Virgil,Liverpool,DEF,6.0,54,OK,9.0,10.0,1.0,54.0,LIV,1125.6787330316743,1196.5339366515839,1196.5339366515839,0.05
Andersen,Fulham,DEF,4.5,53,OK,11.78,4.0,1.0,53.0,FUL,1142.6380090497737,1158.1764705882354,1158.1764705882354,0.05
Rúben,Man City,DEF,5.6,53,OK,9.46,1.0,1.0,53.0,MCI,1129.4886877828055,1155.2081447963803,1155.2081447963803,0.05
Romero,Spurs,DEF,5.0,52,OK,10.4,52.0,1.0,52.0,TOT,1142.9140271493213,1205.4343891402716,1205.4343891402716,0.04
Digne,Aston Villa,DEF,4.5,51,OK,11.33,8.0,1.0,51.0,AVL,1195.606334841629,1183.8371040723982,1183.8371040723982,0.04
