Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Raya,Arsenal,GKP,5.9,66,OK,11.19,11.0,1.0,66.0
Roefs,Sunderland,GKP,4.7,63,OK,13.4,4.0,1.0,63.0
Henderson,Crystal Palace,GKP,5.1,60,OK,11.76,9.0,1.0,60.0
Pickford,Everton,GKP,5.5,60,OK,10.91,8.0,1.0,60.0
Martinez,Aston Villa,GKP,5.1,54,DOUBT,10.59,11.0,1.0,54.0
Vicario,Spurs,GKP,5.0,51,OK,10.2,3.0,1.0,51.0
Sánchez,Chelsea,GKP,4.8,47,OK,9.79,4.0,1.0,47.0
Petrović,Bournemouth,GKP,4.5,45,OK,10.0,4.0,1.0,45.0
Verbruggen,Brighton,GKP,4.4,41,OK,9.32,8.0,1.0,41.0
Dúbravka,Burnley,GKP,4.0,40,OK,10.0,3.0,1.0,40.0
Leno,Fulham,GKP,4.9,40,OK,8.16,1.0,1.0,40.0
Kelleher,Brentford,GKP,4.5,38,OK,8.44,4.0,1.0,38.0
Sels,Nott'm Forest,GKP,4.7,38,OK,8.09,8.0,1.0,38.0
Donnarumma,Man City,GKP,5.7,37,OK,6.49,5.0,1.0,37.0
A.Becker,Liverpool,GKP,5.4,31,OK,5.74,9.0,1.0,31.0
Areola,West Ham,GKP,4.3,29,OK,6.74,5.0,1.0,29.0
Perri,Leeds,GKP,4.5,23,OK,5.11,5.0,1.0,23.0
Lammens,Man Utd,GKP,5.1,22,OK,4.31,4.0,1.0,22.0
Johnstone,Wolves,GKP,4.5,21,OK,4.67,5.0,1.0,21.0
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0
M.Bizot,Aston Villa,GKP,4.3,8,OK,1.86,1.0,1.0,8.0
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0
Ramsdale,Newcastle,GKP,4.8,3,OK,0.62,3.0,1.0,3.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,1.0,1.0,1.0
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0
Muñoz,Crystal Palace,DEF,6.1,89,OK,14.59,15.0,1.0,89.0
Guehi,Crystal Palace,DEF,5.1,83,OK,16.27,83.0,1.0,83.0
J.Timber,Arsenal,DEF,6.4,78,OK,12.19,6.0,1.0,78.0
Lacroix,Crystal Palace,DEF,5.1,78,OK,15.29,11.0,1.0,78.0
Cash,Aston Villa,DEF,4.7,72,OK,15.32,18.0,1.0,72.0
Calafiori,Arsenal,DEF,5.8,71,OK,12.24,8.0,1.0,71.0
Chalobah,Chelsea,DEF,5.2,71,OK,13.65,10.0,1.0,71.0
Mitchell,Crystal Palace,DEF,5.0,68,OK,13.6,7.0,1.0,68.0
Richards,Crystal Palace,DEF,4.6,68,OK,14.78,10.0,1.0,68.0
Keane,Everton,DEF,4.6,67,DOUBT,14.57,2.0,1.0,67.0
Tarkowski,Everton,DEF,5.4,64,OK,11.85,13.0,1.0,64.0
Senesi,Bournemouth,DEF,5.0,63,OK,12.6,2.0,1.0,63.0
Van Hecke,Brighton,DEF,4.5,60,OK,13.33,18.0,1.0,60.0
Burn,Newcastle,DEF,5.1,59,OK,11.57,11.0,1.0,59.0
Van de Ven,Spurs,DEF,4.7,58,OK,12.34,0.0,1.0,58.0
Cucurella,Chelsea,DEF,6.2,57,OK,9.19,2.0,1.0,57.0
Ballard,Sunderland,DEF,4.6,57,OK,12.39,7.0,1.0,57.0
O'Reilly,Man City,DEF,5.2,56,OK,10.77,4.0,1.0,56.0
James,Chelsea,DEF,5.6,55,OK,9.82,8.0,1.0,55.0
Mukiele,Sunderland,DEF,4.2,55,OK,13.1,0.0,1.0,55.0
Virgil,Liverpool,DEF,6.0,54,OK,9.0,10.0,1.0,54.0
Andersen,Fulham,DEF,4.5,53,OK,11.78,4.0,1.0,53.0
Rúben,Man City,DEF,5.6,53,OK,9.46,1.0,1.0,53.0
Romero,Spurs,DEF,5.0,52,OK,10.4,52.0,1.0,52.0
Digne,Aston Villa,DEF,4.5,51,OK,11.33,8.0,1.0,51.0
Rodon,Leeds,DEF,4.1,51,OK,12.44,2.0,1.0,51.0
Konaté,Liverpool,DEF,5.4,51,OK,9.44,12.0,1.0,51.0
Matheus N.,Man City,DEF,5.3,51,OK,9.62,5.0,1.0,51.0
Truffert,Bournemouth,DEF,4.5,50,OK,11.11,5.0,1.0,50.0
Alderete,Sunderland,DEF,4.1,49,OK,11.95,4.0,1.0,49.0
Pedro Porro,Spurs,DEF,5.4,48,OK,8.89,2.0,1.0,48.0
Thiaw,Newcastle,DEF,5.0,47,OK,9.4,17.0,1.0,47.0
Konsa,Aston Villa,DEF,4.4,46,OK,10.45,11.0,1.0,46.0
Tete,Fulham,DEF,4.5,44,OK,9.78,12.0,1.0,44.0
Livramento,Newcastle,DEF,4.9,44,OK,8.98,5.0,1.0,44.0
Hume,Sunderland,DEF,4.5,44,OK,9.78,2.0,1.0,44.0
Gusto,Chelsea,DEF,4.9,43,OK,8.78,3.0,1.0,43.0
Bassey,Fulham,DEF,4.5,43,OK,9.56,6.0,1.0,43.0
De Ligt,Man Utd,DEF,5.0,43,OK,8.6,2.0,1.0,43.0
Hartman,Burnley,DEF,4.0,42,OK,10.5,5.0,1.0,42.0
N.Williams,Nott'm Forest,DEF,4.7,42,OK,8.94,9.0,1.0,42.0
Saliba,Arsenal,DEF,6.0,41,OK,6.83,0.0,1.0,41.0
Gvardiol,Man City,DEF,5.8,41,OK,7.07,6.0,1.0,41.0
Van den Berg,Brentford,DEF,4.5,40,OK,8.89,3.0,1.0,40.0
O'Brien,Everton,DEF,4.9,40,OK,8.16,6.0,1.0,40.0
Dalot,Man Utd,DEF,4.4,40,DOUBT,9.09,40.0,1.0,40.0
Pau,Aston Villa,DEF,4.3,39,OK,9.07,10.0,1.0,39.0
Estève,Burnley,DEF,3.9,38,OK,9.74,7.0,1.0,38.0
Collins,Brentford,DEF,4.9,38,OK,7.76,5.0,1.0,38.0
Kayode,Brentford,DEF,4.5,38,OK,8.44,3.0,1.0,38.0
Diouf,West Ham,DEF,4.2,38,OK,9.05,4.0,1.0,38.0
Dunk,Brighton,DEF,4.5,36,OK,8.0,6.0,1.0,36.0
Diakité,Bournemouth,DEF,4.4,35,OK,7.95,5.0,1.0,35.0
Walker,Burnley,DEF,4.4,34,OK,7.73,5.0,1.0,34.0
Bogle,Leeds,DEF,4.4,34,OK,7.73,34.0,1.0,34.0
Milenković,Fulham,DEF,5.2,34,OK,6.54,34.0,1.0,34.0
Mykolenko,Everton,DEF,4.9,33,OK,6.73,33.0,1.0,33.0
Gudmundsson,Leeds,DEF,3.9,33,OK,8.46,33.0,1.0,33.0
Maguire,Man Utd,DEF,4.4,33,DOUBT,7.5,33.0,1.0,33.0
Rice,Arsenal,MID,7.1,82,DOUBT,11.55,11.0,1.0,82.0
Semenyo,Bournemouth,MID,7.7,80,OK,10.39,5.0,1.0,80.0
Bruno G.,Newcastle,MID,6.8,71,OK,10.44,11.0,1.0,71.0
Neto,Chelsea,MID,7.2,68,OK,9.44,8.0,1.0,68.0
B.Fernandes,Man Utd,MID,9.0,67,OK,7.44,15.0,1.0,67.0
Minteh,Brighton,MID,6.3,66,OK,10.48,5.0,1.0,66.0
Eze,Arsenal,MID,7.8,65,OK,8.33,4.0,1.0,65.0
Foden,Man City,MID,8.4,65,OK,7.74,65.0,1.0,65.0
Saka,Arsenal,MID,10.1,64,OK,6.34,15.0,1.0,64.0
Mbeumo,Man Utd,MID,8.5,64,OK,7.53,3.0,1.0,64.0
Enzo,Chelsea,MID,6.7,63,OK,9.4,4.0,1.0,63.0
Ndiaye,Everton,MID,6.5,63,OK,9.69,5.0,1.0,63.0
Gakpo,Liverpool,MID,7.5,63,OK,8.4,15.0,1.0,63.0
Xhaka,Sunderland,MID,5.2,63,OK,12.12,9.0,1.0,63.0
Kudus,Spurs,MID,6.5,62,OK,9.54,15.0,1.0,62.0
Rogers,Aston Villa,MID,6.9,61,OK,8.84,11.0,1.0,61.0
Cullen,Burnley,MID,5.0,61,OK,12.2,6.0,1.0,61.0
Gravenberch,Liverpool,MID,5.6,61,OK,10.89,8.0,1.0,61.0
J.Palhinha,Spurs,MID,5.5,60,OK,10.91,1.0,1.0,60.0
Grealish,Everton,MID,6.6,59,OK,8.94,13.0,1.0,59.0
Casemiro,Man Utd,MID,5.5,59,DOUBT,10.73,12.0,1.0,59.0
Trossard,Arsenal,MID,6.9,58,OK,8.41,6.0,1.0,58.0
O.Dango,Brentford,MID,6.0,58,OK,9.67,14.0,1.0,58.0
Dewsbury-Hall,Everton,MID,5.0,58,OK,11.6,10.0,1.0,58.0
Anderson,Nott'm Forest,MID,5.4,57,OK,10.56,7.0,1.0,57.0
