Surname,Team,Position,Price,TP,Status,PPM
Pickford,Everton,GKP,5.6,103,OK,18.39
Roefs,Sunderland,GKP,4.9,98,OK,20.0
Raya,Arsenal,GKP,5.9,93,OK,15.76
Sánchez,Chelsea,GKP,4.9,88,OK,17.96
Kelleher,Brentford,GKP,4.6,83,OK,18.04
Henderson,Crystal Palace,GKP,5.0,82,OK,16.4
Donnarumma,Man City,GKP,5.6,79,OK,14.11
Vicario,Spurs,GKP,4.8,77,OK,16.04
Martinez,Aston Villa,GKP,5.0,76,OK,15.2
Pope,Newcastle,GKP,5.1,74,OK,14.51
Dúbravka,Burnley,GKP,4.0,73,OK,18.25
Verbruggen,Brighton,GKP,4.5,71,OK,15.78
Leno,Fulham,GKP,4.9,70,OK,14.29
A.Becker,Liverpool,GKP,5.4,65,OK,12.04
Petrović,Bournemouth,GKP,4.5,60,OK,13.33
Sels,Nott'm Forest,GKP,4.6,60,OK,13.04
Lammens,Man Utd,GKP,5.0,49,OK,9.8
Areola,West Ham,GKP,4.3,49,OK,11.4
Perri,Leeds,GKP,4.5,43,OK,9.56
José Sá,Wolves,GKP,4.2,27,OK,6.43
Johnstone,Wolves,GKP,4.4,21,OK,4.77
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52
Darlow,Leeds,GKP,3.9,18,OK,4.62
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62
Trafford,Man City,GKP,4.5,11,OK,2.44
Bayindir,Man Utd,GKP,4.7,11,OK,2.34
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29
Hermansen,West Ham,GKP,4.2,9,OK,2.14
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7
Gabriel,Arsenal,DEF,6.6,121,OK,18.33
Chalobah,Chelsea,DEF,5.3,114,OK,21.51
Tarkowski,Everton,DEF,5.6,112,OK,20.0
Guéhi,Crystal Palace,DEF,4.6,111,OK,24.13
J.Timber,Arsenal,DEF,6.3,110,DOUBT,17.46
Matheus N.,Man City,DEF,5.4,105,OK,19.44
Mukiele,Sunderland,DEF,4.5,102,OK,22.67
Lacroix,Crystal Palace,DEF,5.1,100,OK,19.61
James,Chelsea,DEF,5.7,98,OK,17.19
Keane,Everton,DEF,4.7,96,DOUBT,20.43
Van de Ven,Spurs,DEF,4.6,96,DOUBT,20.87
Cash,Aston Villa,DEF,4.8,95,OK,19.79
Senesi,Bournemouth,DEF,4.6,94,OK,20.43
