Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW24,LEE,A,1176,1122,1201
ARS,GW25,SUN,H,1122,1122,1122
ARS,GW26,BRE,A,1201,1134,1201
ARS,GW27,TOT,A,1201,1183,1201
ARS,GW28,CHE,H,1201,1170,1201
AVL,GW24,BRE,H,1165,1122,1201
AVL,GW25,BOU,A,1201,1201,1201
AVL,GW26,BHA,H,1183,1109,1201
AVL,GW27,LEE,H,1115,1095,1134
AVL,GW28,WOL,A,1102,1053,1147
BOU,GW24,WOL,A,1102,1053,1147
BOU,GW25,AVL,H,1176,1183,1170
BOU,GW26,EVE,A,1158,1158,1158
BOU,GW27,WHU,A,1089,1053,1122
BOU,GW28,SUN,H,1122,1122,1122
BRE,GW24,AVL,A,1201,1201,1201
BRE,GW25,NEW,A,1201,1201,1217
BRE,GW26,ARS,H,1266,1323,1217
BRE,GW27,BHA,H,1183,1109,1201
BRE,GW28,BUR,A,1115,1109,1122
BHA,GW24,EVE,H,1122,1134,1109
BHA,GW25,CRY,H,1199,1183,1201
BHA,GW26,AVL,A,1201,1201,1201
BHA,GW27,BRE,A,1201,1134,1201
BHA,GW28,NFO,H,1122,1122,1122
BUR,GW24,SUN,A,1176,1147,1201
BUR,GW25,WHU,H,1089,1053,1122
BUR,GW26,CRY,A,1201,1183,1217
BUR,GW27,CHE,A,1201,1194,1201
BUR,GW28,BRE,H,1165,1122,1201
CHE,GW24,WHU,H,1089,1053,1122
CHE,GW25,WOL,A,1102,1053,1147
CHE,GW26,LEE,H,1115,1095,1134
CHE,GW27,BUR,H,1061,1001,1122
CHE,GW28,ARS,A,1376,1399,1338
CRY,GW24,NFO,A,1158,1134,1183
CRY,GW25,BHA,A,1194,1134,1201
CRY,GW26,BUR,H,1061,1001,1122
CRY,GW27,WOL,H,1082,1053,1109
CRY,GW28,MUN,A,1201,1183,1217
EVE,GW24,BHA,A,1194,1134,1201
EVE,GW25,FUL,A,1158,1170,1147
EVE,GW26,BOU,H,1183,1122,1201
EVE,GW27,MUN,H,1165,1122,1201
EVE,GW28,NEW,A,1201,1201,1217
FUL,GW24,MUN,A,1201,1183,1217
FUL,GW25,EVE,H,1122,1134,1109
FUL,GW26,MCI,A,1273,1201,1383
FUL,GW27,SUN,A,1176,1147,1201
FUL,GW28,TOT,H,1199,1158,1201
LEE,GW24,ARS,H,1266,1323,1217
LEE,GW25,NFO,H,1122,1122,1122
LEE,GW26,CHE,A,1201,1194,1201
LEE,GW27,AVL,A,1201,1201,1201
LEE,GW28,MCI,H,1206,1201,1253
LIV,GW24,NEW,H,1194,1201,1183
LIV,GW25,MCI,H,1206,1201,1253
LIV,GW26,SUN,A,1176,1147,1201
LIV,GW27,NFO,A,1158,1134,1183
LIV,GW28,WHU,H,1089,1053,1122
MCI,GW24,TOT,A,1201,1183,1201
MCI,GW25,LIV,A,1223,1201,1295
MCI,GW26,FUL,H,1109,1095,1122
MCI,GW27,NEW,H,1194,1201,1183
MCI,GW28,LEE,A,1176,1122,1201
MUN,GW24,FUL,H,1109,1095,1122
MUN,GW25,TOT,H,1199,1158,1201
MUN,GW26,WHU,A,1089,1053,1122
MUN,GW27,EVE,A,1158,1158,1158
MUN,GW28,CRY,H,1199,1183,1201
NEW,GW24,LIV,A,1223,1201,1295
NEW,GW25,BRE,H,1165,1122,1201
NEW,GW26,TOT,A,1201,1183,1201
NEW,GW27,MCI,A,1273,1201,1383
NEW,GW28,EVE,H,1122,1134,1109
NFO,GW24,CRY,H,1199,1183,1201
NFO,GW25,LEE,A,1176,1122,1201
NFO,GW26,WOL,H,1082,1053,1109
NFO,GW27,LIV,H,1201,1201,1253
NFO,GW28,BHA,A,1194,1134,1201
SUN,GW24,BUR,H,1061,1001,1122
SUN,GW25,ARS,A,1376,1399,1338
SUN,GW26,LIV,H,1201,1201,1253
SUN,GW27,FUL,H,1109,1095,1122
SUN,GW28,BOU,A,1201,1201,1201
TOT,GW24,MCI,H,1206,1201,1253
TOT,GW25,MUN,A,1201,1183,1217
TOT,GW26,NEW,H,1194,1201,1183
TOT,GW27,ARS,H,1266,1323,1217
TOT,GW28,FUL,A,1158,1170,1147
WHU,GW24,CHE,A,1201,1194,1201
WHU,GW25,BUR,A,1115,1109,1122
WHU,GW26,MUN,H,1165,1122,1201
WHU,GW27,BOU,H,1183,1122,1201
WHU,GW28,LIV,A,1223,1201,1295
WOL,GW24,BOU,H,1183,1122,1201
WOL,GW25,CHE,H,1201,1170,1201
WOL,GW26,NFO,A,1158,1134,1183
WOL,GW27,CRY,A,1201,1183,1217
WOL,GW28,AVL,H,1176,1183,1170
