Surname,Team,Position,Price,TP,Status,PPM
Roefs,Sunderland,GKP,4.7,59,OK,12.55
Raya,Arsenal,GKP,5.9,55,OK,9.32
Pope,Newcastle,GKP,5.2,55,OK,10.58
Pickford,Everton,GKP,5.5,52,OK,9.45
Henderson,Crystal Palace,GKP,5.0,51,OK,10.2
Vicario,Spurs,GKP,5.0,48,OK,9.6
Martinez,Aston Villa,GKP,5.0,43,OK,8.6
Sánchez,Chelsea,GKP,4.8,43,OK,8.96
Petrović,Bournemouth,GKP,4.5,41,OK,9.11
Leno,Fulham,GKP,5.0,39,OK,7.8
Dúbravka,Burnley,GKP,4.0,37,OK,9.25
Kelleher,Brentford,GKP,4.5,34,OK,7.56
Verbruggen,Brighton,GKP,4.4,33,OK,7.5
Donnarumma,Man City,GKP,5.7,32,OK,5.61
Sels,Nott'm Forest,GKP,4.7,30,OK,6.38
Areola,West Ham,GKP,4.3,24,OK,5.58
A.Becker,Liverpool,GKP,5.4,22,DOUBT,4.07
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42
Perri,Leeds,GKP,4.5,18,OK,4.0
Lammens,Man Utd,GKP,5.0,18,OK,3.6
Johnstone,Wolves,GKP,4.5,16,OK,3.56
Trafford,Man City,GKP,4.6,11,OK,2.39
Bayindir,Man Utd,GKP,4.8,11,OK,2.29
Darlow,Leeds,GKP,4.0,10,OK,2.5
Hermansen,West Ham,GKP,4.3,9,OK,2.09
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63
José Sá,Wolves,GKP,4.3,5,OK,1.16
Jorgensen,Chelsea,GKP,4.3,1,OK,0.23
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0
Setford,Arsenal,GKP,4.0,0,OK,0.0
Hume,Sunderland,DEF,4.5,42,OK,9.33
Saliba,Arsenal,DEF,6.0,41,OK,6.83
De Ligt,Man Utd,DEF,5.0,41,OK,8.2
Gusto,Chelsea,DEF,4.9,40,OK,8.16
Konaté,Liverpool,DEF,5.4,39,OK,7.22
Livramento,Newcastle,DEF,4.9,39,OK,7.96
Hartman,Burnley,DEF,4.0,37,OK,9.25
Van den Berg,Brentford,DEF,4.5,37,OK,8.22
Bassey,Fulham,DEF,4.5,37,OK,8.22
Konsa,Aston Villa,DEF,4.4,35,OK,7.95
Kayode,Brentford,DEF,4.5,35,OK,7.78
Gvardiol,Man City,DEF,5.8,35,OK,6.03
O'Brien,Everton,DEF,4.9,34,OK,6.94
Diouf,West Ham,DEF,4.3,34,OK,7.91
Collins,Brentford,DEF,4.9,33,OK,6.73
N.Williams,Nott'm Forest,DEF,4.7,33,OK,7.02
Tete,Fulham,DEF,4.5,32,OK,7.11
Botman,Newcastle,DEF,4.9,32,OK,6.53
Estève,Burnley,DEF,3.9,31,OK,7.95
Spence,Spurs,DEF,4.5,31,OK,6.89
Diakité,Bournemouth,DEF,4.5,30,OK,6.67
Dunk,Brighton,DEF,4.5,30,OK,6.67
Shaw,Man Utd,DEF,4.5,30,OK,6.67
Trippier,Newcastle,DEF,5.0,30,OK,6.0
Thiaw,Newcastle,DEF,4.9,30,OK,6.12
Murillo,Nott'm Forest,DEF,5.3,30,OK,5.66
Pau,Aston Villa,DEF,4.3,29,OK,6.74
Walker,Burnley,DEF,4.4,29,OK,6.59
Muñoz,Crystal Palace,DEF,5.9,74,OK,12.54
J.Timber,Arsenal,DEF,6.3,72,OK,11.43
Guéhi,Crystal Palace,DEF,5.1,69,OK,13.53
Lacroix,Crystal Palace,DEF,5.0,67,OK,13.4
Keane,Everton,DEF,4.5,65,OK,14.44
Calafiori,Arsenal,DEF,5.8,63,OK,10.86
Senesi,Bournemouth,DEF,5.0,61,OK,12.2
Chalobah,Chelsea,DEF,5.1,61,OK,11.96
Mitchell,Crystal Palace,DEF,5.0,61,OK,12.2
Richards,Crystal Palace,DEF,4.6,58,OK,12.61
