Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.7,56,OK,11.91,1.0,56.0
Raya,Arsenal,GKP,5.9,53,OK,8.98,1.0,53.0
Pope,Newcastle,GKP,5.2,52,OK,10.0,1.0,52.0
Vicario,Spurs,GKP,5.0,47,OK,9.4,1.0,47.0
Henderson,Crystal Palace,GKP,5.0,45,OK,9.0,1.0,45.0
Pickford,Everton,GKP,5.5,42,OK,7.64,1.0,42.0
Martinez,Aston Villa,GKP,5.0,40,OK,8.0,1.0,40.0
Petrović,Bournemouth,GKP,4.5,40,OK,8.89,1.0,40.0
Sánchez,Chelsea,GKP,4.8,37,OK,7.71,1.0,37.0
Dúbravka,Burnley,GKP,4.0,35,OK,8.75,1.0,35.0
Leno,Fulham,GKP,5.0,34,OK,6.8,1.0,34.0
Kelleher,Brentford,GKP,4.5,32,OK,7.11,1.0,32.0
Donnarumma,Man City,GKP,5.7,31,OK,5.44,1.0,31.0
Verbruggen,Brighton,GKP,4.4,26,OK,5.91,1.0,26.0
Sels,Nott'm Forest,GKP,4.8,23,OK,4.79,1.0,23.0
A.Becker,Liverpool,GKP,5.4,20,DOUBT,3.7,1.0,20.0
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,1.0,19.0
Perri,Leeds,GKP,4.5,17,OK,3.78,1.0,17.0
Lammens,Man Utd,GKP,5.0,16,OK,3.2,1.0,16.0
Areola,West Ham,GKP,4.3,15,OK,3.49,1.0,15.0
Johnstone,Wolves,GKP,4.5,15,OK,3.33,1.0,15.0
Trafford,Man City,GKP,4.7,11,OK,2.34,1.0,11.0
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,1.0,11.0
Darlow,Leeds,GKP,4.0,10,OK,2.5,1.0,10.0
Hermansen,West Ham,GKP,4.4,9,OK,2.05,1.0,9.0
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63,1.0,7.0
José Sá,Wolves,GKP,4.3,5,OK,1.16,1.0,5.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,1.0,1.0
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,1.0,0.0
Setford,Arsenal,GKP,4.0,0,OK,0.0,1.0,0.0
Gabriel,Arsenal,DEF,6.6,81,OK,12.27,1.0,81.0
J.Timber,Arsenal,DEF,5.6,67,OK,11.96,1.0,67.0
Guehi,Crystal Palace,DEF,4.6,64,DOUBT,13.91,1.0,64.0
Calafiori,Arsenal,DEF,5.7,61,OK,10.7,1.2,73.2
Muñoz,Crystal Palace,DEF,5.7,60,OK,10.53,1.0,60.0
Senesi,Bournemouth,DEF,4.6,58,OK,12.61,1.0,58.0
Van de Ven,Spurs,DEF,4.8,58,OK,12.08,1.0,58.0
Lacroix,Crystal Palace,DEF,5.0,56,OK,11.2,1.0,56.0
Keane,Everton,DEF,4.5,56,OK,12.44,1.0,56.0
Chalobah,Chelsea,DEF,5.1,55,OK,10.78,1.2,66.0
Mitchell,Crystal Palace,DEF,5.0,55,OK,11.0,1.0,55.0
Cash,Aston Villa,DEF,4.6,52,OK,11.3,1.0,52.0
Richards,Crystal Palace,DEF,4.5,52,OK,11.56,1.0,52.0
O'Reilly,Man City,DEF,5.0,51,OK,10.2,1.0,51.0
Mukiele,Sunderland,DEF,4.2,51,OK,12.14,1.0,51.0
Cucurella,Chelsea,DEF,6.1,49,OK,8.03,1.0,49.0
Ballard,Sunderland,DEF,4.6,49,OK,10.65,1.0,49.0
Burn,Newcastle,DEF,5.2,48,INJURY,9.23,1.0,48.0
James,Chelsea,DEF,5.6,46,OK,8.21,1.0,46.0
Rodon,Leeds,DEF,4.1,46,OK,11.22,1.0,46.0
Pedro Porro,Spurs,DEF,5.5,46,OK,8.36,1.0,46.0
Truffert,Bournemouth,DEF,4.5,45,OK,10.0,1.0,45.0
Matheus N.,Man City,DEF,5.3,45,OK,8.49,1.0,45.0
Rúben,Man City,DEF,5.5,45,OK,8.18,1.0,45.0
Alderete,Sunderland,DEF,4.1,45,DOUBT,10.98,1.0,45.0
Tarkowski,Everton,DEF,5.4,43,DOUBT,7.96,1.0,43.0
Digne,Aston Villa,DEF,4.5,42,OK,9.33,1.0,42.0
Virgil,Liverpool,DEF,5.9,41,OK,6.95,1.0,41.0
Hume,Sunderland,DEF,4.5,41,OK,9.11,1.0,41.0
Van Hecke,Brighton,DEF,4.4,40,OK,9.09,1.0,40.0
Saliba,Arsenal,DEF,6.0,39,OK,6.5,1.0,39.0
Gusto,Chelsea,DEF,4.9,39,OK,7.96,1.0,39.0
Andersen,Fulham,DEF,4.5,39,OK,8.67,1.0,39.0
Konate,Liverpool,DEF,5.4,39,OK,7.22,1.0,39.0
De Ligt,Man Utd,DEF,5.0,39,OK,7.8,1.0,39.0
Livramento,Newcastle,DEF,4.9,37,DOUBT,7.55,1.0,37.0
Hartman,Burnley,DEF,4.0,36,OK,9.0,1.0,36.0
Kayode,Brentford,DEF,4.5,34,OK,7.56,1.0,34.0
Van den Berg,Brentford,DEF,4.5,34,OK,7.56,1.0,34.0
Gvardiol,Man City,DEF,5.8,34,OK,5.86,1.0,34.0
Romero,Spurs,DEF,5.0,34,OK,6.8,1.0,34.0
Konsa,Aston Villa,DEF,4.4,33,OK,7.5,1.0,33.0
Maguire,Man Utd,DEF,4.4,33,DOUBT,7.5,1.0,33.0
Collins,Brentford,DEF,4.9,32,OK,6.53,1.0,32.0
Botman,Newcastle,DEF,4.9,31,OK,6.33,1.0,31.0
Spence,Spurs,DEF,4.5,31,OK,6.89,1.0,31.0
Diouf,West Ham,DEF,4.3,31,OK,7.21,1.0,31.0
Diakité,Bournemouth,DEF,4.5,30,OK,6.67,1.0,30.0
Trippier,Newcastle,DEF,5.0,30,OK,6.0,1.0,30.0
Walker,Burnley,DEF,4.4,29,OK,6.59,1.0,29.0
Dunk,Brighton,DEF,4.5,29,OK,6.44,1.0,29.0
Estève,Burnley,DEF,4.0,28,OK,7.0,1.0,28.0
O'Brien,Everton,DEF,4.9,28,OK,5.71,1.0,28.0
Bassey,Fulham,DEF,4.5,28,OK,6.22,1.0,28.0
Bogle,Leeds,DEF,4.5,28,OK,6.22,1.0,28.0
Shaw,Man Utd,DEF,4.5,28,OK,6.22,1.0,28.0
Acheampong,Chelsea,DEF,3.9,27,OK,6.92,1.0,27.0
Gudmundsson,Leeds,DEF,4.0,27,OK,6.75,1.0,27.0
Tete,Fulham,DEF,4.5,26,OK,5.78,1.0,26.0
Thew,Newcastle,DEF,4.9,26,OK,5.31,1.0,26.0
Semenyo,Bournemouth,MID,7.4,75,OK,10.14,1.0,75.0
Rice,Arsenal,MID,6.9,65,OK,9.42,1.0,65.0
Caicedo,Chelsea,MID,6.1,60,OK,9.84,1.0,60.0
Mbeumo,Man Utd,MID,8.5,60,OK,7.06,1.0,60.0
Ndiaye,Everton,MID,6.6,55,OK,8.33,1.0,55.0
M.Salah,Liverpool,MID,14.5,54,OK,3.72,1.5,81.0
Cullen,Burnley,MID,5.0,53,OK,10.6,1.0,53.0
Neto,Chelsea,MID,7.1,52,DOUBT,7.32,1.0,52.0
Gravenberch,Liverpool,MID,5.6,52,OK,9.29,1.0,52.0
Xhaka,Sunderland,MID,5.2,52,OK,10.0,1.0,52.0
J.Palhinha,Spurs,MID,5.5,51,OK,9.27,1.0,51.0
Minteh,Brighton,MID,6.0,50,OK,8.33,1.0,50.0
B.Fernandes,Man Utd,MID,8.9,50,OK,5.62,1.0,50.0
