Surname,Team,Position,Price,TP,Status,PPM
Roefs,Sunderland,GKP,4.7,56,OK,11.91
Raya,Arsenal,GKP,5.9,53,OK,8.98
Pope,Newcastle,GKP,5.2,52,OK,10.0
Vicario,Spurs,GKP,5.0,47,OK,9.4
Henderson,Crystal Palace,GKP,5.0,45,OK,9.0
Pickford,Everton,GKP,5.5,42,OK,7.64
Martinez,Aston Villa,GKP,5.0,40,OK,8.0
Petrović,Bournemouth,GKP,4.5,40,OK,8.89
Sánchez,Chelsea,GKP,4.8,37,OK,7.71
Dúbravka,Burnley,GKP,4.0,35,OK,8.75
Leno,Fulham,GKP,5.0,34,OK,6.8
Kelleher,Brentford,GKP,4.5,32,OK,7.11
Donnarumma,Man City,GKP,5.7,31,OK,5.44
Verbruggen,Brighton,GKP,4.4,26,OK,5.91
Sels,Nott'm Forest,GKP,4.8,23,OK,4.79
A.Becker,Liverpool,GKP,5.4,20,DOUBT,3.7
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42
Perri,Leeds,GKP,4.5,17,OK,3.78
Lammens,Man Utd,GKP,5.0,16,OK,3.2
Areola,West Ham,GKP,4.3,15,OK,3.49
Johnstone,Wolves,GKP,4.5,15,OK,3.33
Trafford,Man City,GKP,4.7,11,OK,2.34
Bayindir,Man Utd,GKP,4.8,11,OK,2.29
Darlow,Leeds,GKP,4.0,10,OK,2.5
Hermansen,West Ham,GKP,4.4,9,OK,2.05
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63
José Sá,Wolves,GKP,4.3,5,OK,1.16
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0
Setford,Arsenal,GKP,4.0,0,OK,0.0
Gabriel,Arsenal,DEF,6.6,81,OK,12.27
J.Timber,Arsenal,DEF,5.6,67,OK,11.96
Guehi,Crystal Palace,DEF,4.6,64,DOUBT,13.91
Calafiori,Arsenal,DEF,5.7,61,OK,10.7
Muñoz,Crystal Palace,DEF,5.7,60,OK,10.53
Senesi,Bournemouth,DEF,4.6,58,OK,12.61
Van de Ven,Spurs,DEF,4.8,58,OK,12.08
Lacroix,Crystal Palace,DEF,5.0,56,OK,11.2
Keane,Everton,DEF,4.5,56,OK,12.44
Chalobah,Chelsea,DEF,5.1,55,OK,10.78
Mitchell,Crystal Palace,DEF,5.0,55,OK,11.0
Cash,Aston Villa,DEF,4.6,52,OK,11.3
Richards,Crystal Palace,DEF,4.5,52,OK,11.56
O'Reilly,Man City,DEF,5.0,51,OK,10.2
Mukiele,Sunderland,DEF,4.2,51,OK,12.14
Cucurella,Chelsea,DEF,6.1,49,OK,8.03
Ballard,Sunderland,DEF,4.6,49,OK,10.65
Burn,Newcastle,DEF,5.2,48,INJURY,9.23
James,Chelsea,DEF,5.6,46,OK,8.21
Rodon,Leeds,DEF,4.1,46,OK,11.22
Pedro Porro,Spurs,DEF,5.5,46,OK,8.36
Truffert,Bournemouth,DEF,4.5,45,OK,10.0
Matheus N.,Man City,DEF,5.3,45,OK,8.49
Rúben,Man City,DEF,5.5,45,OK,8.18
Alderete,Sunderland,DEF,4.1,45,DOUBT,10.98
Tarkowski,Everton,DEF,5.4,43,DOUBT,7.96
Digne,Aston Villa,DEF,4.5,42,OK,9.33
Virgil,Liverpool,DEF,5.9,41,OK,6.95
Hume,Sunderland,DEF,4.5,41,OK,9.11
Van Hecke,Brighton,DEF,4.4,40,OK,9.09
Saliba,Arsenal,DEF,6.0,39,OK,6.5
Gusto,Chelsea,DEF,4.9,39,OK,7.96
Andersen,Fulham,DEF,4.5,39,OK,8.67
Konate,Liverpool,DEF,5.4,39,OK,7.22
De Ligt,Man Utd,DEF,5.0,39,OK,7.8
Livramento,Newcastle,DEF,4.9,37,DOUBT,7.55
Hartman,Burnley,DEF,4.0,36,OK,9.0
Kayode,Brentford,DEF,4.5,34,OK,7.56
Van den Berg,Brentford,DEF,4.5,34,OK,7.56
Gvardiol,Man City,DEF,5.8,34,OK,5.86
Romero,Spurs,DEF,5.0,34,OK,6.8
Konsa,Aston Villa,DEF,4.4,33,OK,7.5
Maguire,Man Utd,DEF,4.4,33,DOUBT,7.5
Collins,Brentford,DEF,4.9,32,OK,6.53
Botman,Newcastle,DEF,4.9,31,OK,6.33
Spence,Spurs,DEF,4.5,31,OK,6.89
Diouf,West Ham,DEF,4.3,31,OK,7.21
Diakité,Bournemouth,DEF,4.5,30,OK,6.67
Trippier,Newcastle,DEF,5.0,30,OK,6.0
Walker,Burnley,DEF,4.4,29,OK,6.59
Dunk,Brighton,DEF,4.5,29,OK,6.44
Estève,Burnley,DEF,4.0,28,OK,7.0
O'Brien,Everton,DEF,4.9,28,OK,5.71
Bassey,Fulham,DEF,4.5,28,OK,6.22
Bogle,Leeds,DEF,4.5,28,OK,6.22
Shaw,Man Utd,DEF,4.5,28,OK,6.22
Acheampong,Chelsea,DEF,3.9,27,OK,6.92
Gudmundsson,Leeds,DEF,4.0,27,OK,6.75
Tete,Fulham,DEF,4.5,26,OK,5.78
Thew,Newcastle,DEF,4.9,26,OK,5.31
Semenyo,Bournemouth,MID,7.4,75,OK,10.14
Rice,Arsenal,MID,6.9,65,OK,9.42
Caicedo,Chelsea,MID,6.1,60,OK,9.84
Mbeumo,Man Utd,MID,8.5,60,OK,7.06
Ndiaye,Everton,MID,6.6,55,OK,8.33
M.Salah,Liverpool,MID,14.5,54,OK,3.72
Cullen,Burnley,MID,5.0,53,OK,10.6
Neto,Chelsea,MID,7.1,52,DOUBT,7.32
Gravenberch,Liverpool,MID,5.6,52,OK,9.29
Xhaka,Sunderland,MID,5.2,52,OK,10.0
J.Palhinha,Spurs,MID,5.5,51,OK,9.27
Minteh,Brighton,MID,6.0,50,OK,8.33
B.Fernandes,Man Utd,MID,8.9,50,OK,5.62
Bruno G.,Newcastle,MID,6.6,50,OK,7.58
Anthony,Burnley,MID,5.7,49,OK,8.6
Zubimendi,Arsenal,MID,5.4,48,DOUBT,8.89
Enzo,Chelsea,MID,6.6,48,OK,7.27
Tavernier,Bournemouth,MID,5.5,47,OK,8.55
Sessegnon,Fulham,MID,5.4,47,OK,8.7
Casemiro,Man Utd,MID,5.5,47,DOUBT,8.55
Sarr,Crystal Palace,MID,6.7,46,OK,6.87
Gakpo,Liverpool,MID,7.5,46,OK,6.13
Saka,Arsenal,MID,10.1,45,OK,4.46
Kudus,West Ham,MID,6.5,45,DOUBT,6.92
L.Paquetá,West Ham,MID,5.9,45,OK,7.63
Szoboszlai,Liverpool,MID,6.6,44,INJURY,6.67
Doku,Man City,MID,6.4,44,OK,6.88
Grealish,Everton,MID,6.8,43,OK,6.32
Gana,Everton,MID,5.4,42,OK,7.78
Garner,Everton,MID,5.0,42,OK,8.4
Eze,Arsenal,MID,7.6,41,OK,5.39
Aaronson,Leeds,MID,5.4,41,OK,7.59
Anderson,Nott'm Forest,MID,5.3,41,OK,7.74
Trossard,Arsenal,MID,6.9,40,OK,5.8
Schade,Brentford,MID,7.0,40,OK,5.71
Iwobi,Fulham,MID,6.5,40,OK,6.15
Stach,Leeds,MID,5.0,40,OK,8.0
Gibbs-White,Nott'm Forest,MID,7.3,40,OK,5.48
Buendia,Aston Villa,MID,5.3,39,OK,7.36
O.Dango,Brentford,MID,6.0,39,OK,6.5
Longstaff,Leeds,MID,4.9,38,OK,7.76
Adams,Bournemouth,MID,5.0,37,DOUBT,7.4
Amad,Man Utd,MID,6.3,37,OK,5.87
P.M.Sarr,Spurs,MID,4.8,37,OK,7.71
Scott,Bournemouth,MID,5.0,36,OK,7.2
Wieffer,Brighton,MID,4.9,36,OK,7.35
J.Murphy,Newcastle,MID,6.1,36,OK,5.9
Rogers,Aston Villa,MID,6.8,35,OK,5.15
Dewsbury-Hall,Everton,MID,4.9,35,OK,7.14
Bentancur,Spurs,MID,5.3,35,OK,6.6
Munetsi,Wolves,MID,5.4,35,OK,6.48
Wilson,Fulham,MID,5.2,34,OK,6.54
Reijnders,Man City,MID,5.5,34,OK,6.18
E Le Fee,Sunderland,MID,4.9,34,OK,6.94
Talbi,Sunderland,MID,5.0,34,OK,6.8
Damsgaard,Brentford,MID,5.8,33,OK,5.69
Yarmoliuk,Brentford,MID,5.0,33,OK,6.6
Malen,Aston Villa,MID,5.1,32,OK,6.27
Ugochukwu,Burnley,MID,5.0,32,OK,6.4
Kamada,Crystal Palace,MID,5.0,32,OK,6.4
Haaland,Man City,FWD,14.1,102,OK,7.23
Thiago,Brentford,FWD,6.3,60,OK,9.52
João Pedro,Chelsea,FWD,7.7,59,OK,7.66
Mateta,Crystal Palace,FWD,8.1,50,OK,6.17
Bowen,West Ham,FWD,7.7,46,OK,5.97
Welbeck,Brighton,FWD,6.5,45,OK,6.92
Richarlison,Spurs,FWD,6.4,44,OK,6.88
Isidor,Sunderland,FWD,5.6,41,OK,7.32
Woltemade,Newcastle,FWD,7.4,40,OK,5.41
Ekitiké,Liverpool,FWD,8.6,39,OK,4.53
Gyökeres,Arsenal,FWD,8.9,37,INJURY,4.16
Šeško,Man Utd,FWD,7.3,31,DOUBT,4.25
Kroupi.Jr,Bournemouth,FWD,4.6,30,OK,6.52
Foster,Burnley,FWD,5.0,28,OK,5.6
Watkins,Aston Villa,FWD,8.5,27,OK,3.18
Flemming,Burnley,FWD,5.3,25,OK,4.72
Evanilson,Bournemouth,FWD,7.0,25,OK,3.57
Raúl,Fulham,FWD,6.2,25,OK,4.03
Calvert-Lewin,Leeds,FWD,5.5,25,OK,4.55
Wood,Nott'm Forest,FWD,7.2,25,INJURY,3.47
Nmecha,Leeds,FWD,5.0,23,OK,4.6
Wilson,West Ham,FWD,5.8,22,OK,3.79
Beto,Everton,FWD,5.2,21,OK,4.04
Strand Larsen,Wolves,FWD,6.3,21,OK,3.33
Osula,Newcastle,FWD,5.5,18,INJURY,3.27
Muniz,Fulham,FWD,5.4,17,DOUBT,3.15
Mayenda,Sunderland,FWD,5.4,16,OK,2.96
Igor Jesus,Nott'm Forest,FWD,5.8,14,OK,2.41
Brobbey,Sunderland,FWD,5.5,13,OK,2.36
Barry,Everton,FWD,5.7,12,OK,2.11
