Surname,Team,Position,CP,SP,PP,Status
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
Vicario,Spurs,GKP,5.0,5.0,5.0,OK
Calafiori,Arsenal,DEF,5.8,5.7,5.7,OK
J.Timber,Arsenal,DEF,6.1,5.8,5.6,OK
Senesi,Bournemouth,DEF,5.0,4.8,4.6,OK
Chalobah,Chelsea,DEF,5.1,5.1,5.1,OK
Guehi,Crystal Palace,DEF,5.1,4.8,4.6,DOUBT
Semenyo,Bournemouth,MID,8.1,7.7,7.4,OK
Anthony,Burnley,MID,5.6,5.6,5.7,OK
Enzo,Chelsea,MID,6.7,6.6,6.6,DOUBT
M.Salah,Liverpool,MID,14.2,14.2,14.5,OK
Stach,Leeds,MID,4.9,4.9,5.0,OK
Barnes,Burnley,FWD,4.3,4.3,4.4,OK
João Pedro,Chelsea,FWD,7.5,7.5,7.7,OK
Haaland,Man City,FWD,14.9,14.5,14.1,OK
