Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW12,TOT,H,1200,1200,1200
ARS,GW13,CHE,A,1200,1200,1200
ARS,GW14,BRE,H,1200,1200,1200
ARS,GW15,AVL,A,1100,1100,1100
ARS,GW16,WOL,H,1000,1000,1000
AVL,GW12,LEE,A,1000,1000,1000
AVL,GW13,WOL,H,1000,1000,1000
AVL,GW14,BHA,A,1100,1100,1100
AVL,GW15,ARS,H,1400,1400,1400
AVL,GW16,WHU,A,1000,1000,1000
BHA,GW12,BRE,H,1200,1200,1200
BHA,GW13,NFO,A,1000,1000,1000
BHA,GW14,AVL,H,1200,1200,1200
BHA,GW15,WHU,H,1000,1000,1000
BHA,GW16,LIV,A,1200,1200,1200
BOU,GW12,WHU,H,1000,1000,1000
BOU,GW13,SUN,A,1000,1000,1000
BOU,GW14,EVE,H,1100,1100,1100
BOU,GW15,CHE,H,1200,1200,1200
BOU,GW16,MUN,A,1100,1100,1100
BRE,GW12,BHA,A,1100,1100,1100
BRE,GW13,BUR,H,1000,1000,1000
BRE,GW14,ARS,A,1300,1300,1300
BRE,GW15,TOT,A,1200,1200,1200
BRE,GW16,LEE,H,1100,1100,1100
BUR,GW12,CHE,H,1200,1200,1200
BUR,GW13,BRE,A,1100,1100,1100
BUR,GW14,CRY,H,1200,1200,1200
BUR,GW15,NEW,A,1200,1200,1200
BUR,GW16,FUL,H,1100,1100,1100
CHE,GW12,BUR,A,1000,1000,1000
CHE,GW13,ARS,H,1400,1400,1400
CHE,GW14,LEE,A,1000,1000,1000
CHE,GW15,BOU,A,1100,1100,1100
CHE,GW16,EVE,H,1200,1200,1200
CRY,GW12,WOL,A,1000,1000,1000
CRY,GW13,MUN,H,1200,1200,1200
CRY,GW14,BUR,A,1000,1000,1000
CRY,GW15,FUL,A,1000,1000,1000
CRY,GW16,MCI,H,1300,1300,1300
EVE,GW12,MUN,A,1100,1100,1100
EVE,GW13,NEW,H,1200,1200,1200
EVE,GW14,BOU,A,1100,1100,1100
EVE,GW15,NFO,H,1100,1100,1100
EVE,GW16,CHE,A,1200,1200,1200
FUL,GW12,SUN,H,1100,1100,1100
FUL,GW13,TOT,A,1200,1200,1200
FUL,GW14,MCI,H,1300,1300,1300
FUL,GW15,CRY,H,1200,1200,1200
FUL,GW16,BUR,A,1000,1000,1000
LEE,GW12,AVL,H,1200,1200,1200
LEE,GW13,MCI,A,1300,1300,1300
LEE,GW14,CHE,H,1200,1200,1200
LEE,GW15,LIV,H,1300,1300,1300
LEE,GW16,BRE,A,1100,1100,1100
LIV,GW12,NFO,H,1100,1100,1100
LIV,GW13,WHU,A,1000,1000,1000
LIV,GW14,SUN,H,1100,1100,1100
LIV,GW15,LEE,A,1000,1000,1000
LIV,GW16,BHA,H,1200,1200,1200
MCI,GW12,NEW,A,1200,1200,1200
MCI,GW13,LEE,H,1100,1100,1100
MCI,GW14,FUL,A,1000,1000,1000
MCI,GW15,SUN,H,1100,1100,1100
MCI,GW16,CRY,A,1200,1200,1200
MUN,GW12,EVE,H,1100,1100,1100
MUN,GW13,CRY,A,1200,1200,1200
MUN,GW14,WHU,H,1000,1000,1000
MUN,GW15,WOL,A,1000,1000,1000
MUN,GW16,BOU,H,1200,1200,1200
NEW,GW12,MCI,H,1300,1300,1300
NEW,GW13,EVE,A,1000,1000,1000
NEW,GW14,TOT,H,1200,1200,1200
NEW,GW15,BUR,H,1000,1000,1000
NEW,GW16,SUN,A,1000,1000,1000
NFO,GW12,LIV,A,1200,1200,1200
NFO,GW13,BHA,H,1200,1200,1200
NFO,GW14,WOL,A,1000,1000,1000
NFO,GW15,EVE,A,1000,1000,1000
NFO,GW16,TOT,H,1200,1200,1200
SUN,GW12,FUL,A,1000,1000,1000
SUN,GW13,BOU,H,1200,1200,1200
SUN,GW14,LIV,A,1200,1200,1200
SUN,GW15,MCI,A,1300,1300,1300
SUN,GW16,NEW,H,1200,1200,1200
TOT,GW12,ARS,A,1300,1300,1300
TOT,GW13,FUL,H,1100,1100,1100
TOT,GW14,NEW,A,1200,1200,1200
TOT,GW15,BRE,H,1200,1200,1200
TOT,GW16,NFO,A,1000,1000,1000
WHU,GW12,BOU,A,1100,1100,1100
WHU,GW13,LIV,H,1300,1300,1300
WHU,GW14,MUN,A,1100,1100,1100
WHU,GW15,BHA,A,1100,1100,1100
WHU,GW16,AVL,H,1200,1200,1200
WOL,GW12,CRY,H,1200,1200,1200
WOL,GW13,AVL,A,1100,1100,1100
WOL,GW14,NFO,H,1100,1100,1100
WOL,GW15,MUN,H,1200,1200,1200
WOL,GW16,ARS,A,1300,1300,1300
