Surname,Team,Position,Price,TP,Status,PPM
Roefs,Sunderland,GKP,4.9,95,OK,19.39
Pickford,Everton,GKP,5.6,90,OK,16.07
Raya,Arsenal,GKP,5.9,86,OK,14.58
Kelleher,Brentford,GKP,4.5,81,OK,18.0
Henderson,Crystal Palace,GKP,5.1,79,OK,15.49
Vicario,Spurs,GKP,4.8,75,OK,15.62
Sánchez,Chelsea,GKP,4.9,74,OK,15.1
Donnarumma,Man City,GKP,5.7,69,OK,12.11
Verbruggen,Brighton,GKP,4.5,68,OK,15.11
Pope,Newcastle,GKP,5.1,65,OK,12.75
Martinez,Aston Villa,GKP,5.0,64,DOUBT,12.8
Leno,Fulham,GKP,4.9,64,OK,13.06
Dúbravka,Burnley,GKP,4.0,63,OK,15.75
A.Becker,Liverpool,GKP,5.4,62,OK,11.48
Petrović,Bournemouth,GKP,4.5,57,OK,12.67
Sels,Nott'm Forest,GKP,4.6,44,OK,9.57
Areola,West Ham,GKP,4.3,44,OK,10.23
Perri,Leeds,GKP,4.5,43,OK,9.56
Lammens,Man Utd,GKP,5.0,41,OK,8.2
Johnstone,Wolves,GKP,4.4,21,OK,4.77
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52
José Sá,Wolves,GKP,4.2,19,OK,4.52
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62
Trafford,Man City,GKP,4.5,11,OK,2.44
Bayindir,Man Utd,GKP,4.7,11,OK,2.34
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29
John,Nott'm Forest,GKP,4.0,11,DOUBT,2.75
Darlow,Leeds,GKP,3.9,10,OK,2.56
Hermansen,West Ham,GKP,4.2,9,OK,2.14
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7
Gabriel,Arsenal,DEF,6.6,112,OK,16.97
Guéhi,Crystal Palace,DEF,4.6,105,OK,22.83
J.Timber,Arsenal,DEF,6.3,104,OK,16.51
Chalobah,Chelsea,DEF,5.3,102,OK,19.25
Tarkowski,Everton,DEF,5.6,100,OK,17.86
Lacroix,Crystal Palace,DEF,5.1,98,OK,19.22
Rúben,Man City,DEF,5.7,95,DOUBT,16.67
Matheus N.,Man City,DEF,5.5,94,OK,17.09
Mukiele,Sunderland,DEF,4.4,92,OK,20.91
Van de Ven,Spurs,DEF,4.6,89,OK,19.35
Senesi,Bournemouth,DEF,4.6,88,OK,19.13
Cash,Aston Villa,DEF,4.8,87,OK,18.12
Mitchell,Crystal Palace,DEF,5.0,84,OK,16.8
James,Chelsea,DEF,5.7,83,OK,14.56
Virgil,Liverpool,DEF,5.9,79,OK,13.39
Konaté,Liverpool,DEF,5.4,79,OK,14.63
O'Reilly,Man City,DEF,5.3,79,OK,14.91
Van Hecke,Brighton,DEF,4.5,78,OK,17.33
Gvardiol,Man City,DEF,6.0,77,DOUBT,12.83
Ballard,Sunderland,DEF,4.6,77,OK,16.74
Alderete,Sunderland,DEF,4.1,77,OK,18.78
Andersen,Fulham,DEF,4.6,76,OK,16.52
Thiaw,Newcastle,DEF,5.1,75,OK,14.71
Pedro Porro,Spurs,DEF,5.2,74,OK,14.23
Gusto,Chelsea,DEF,5.0,73,OK,14.6
Romero,Spurs,DEF,5.0,73,OK,14.6
Cucurella,Chelsea,DEF,6.0,69,OK,11.5
Truffert,Bournemouth,DEF,4.5,67,OK,14.89
O'Brien,Everton,DEF,4.9,67,OK,13.67
Lewis-Potter,Brentford,DEF,4.9,65,OK,13.27
Tete,Fulham,DEF,4.5,65,OK,14.44
Hume,Sunderland,DEF,4.5,65,OK,14.44
Digne,Aston Villa,DEF,4.5,64,OK,14.22
Kayode,Brentford,DEF,4.5,63,OK,14.0
Konsa,Aston Villa,DEF,4.4,62,OK,14.09
Saliba,Arsenal,DEF,5.9,61,OK,10.34
N.Williams,Nott'm Forest,DEF,4.7,59,OK,12.55
Struijk,Leeds,DEF,4.3,58,OK,13.49
Rodon,Leeds,DEF,3.9,58,OK,14.87
F.Kadıoğlu,Brighton,DEF,4.4,56,OK,12.73
Mykolenko,Everton,DEF,4.9,56,OK,11.43
Bassey,Fulham,DEF,4.4,55,OK,12.5
Spence,Spurs,DEF,4.3,53,OK,12.33
Van den Berg,Brentford,DEF,4.5,52,OK,11.56
Kerkez,Bournemouth,DEF,5.6,52,OK,9.29
Milenković,Fulham,DEF,5.1,52,OK,10.2
Dorgu,Man Utd,DEF,4.2,51,OK,12.14
De Cuyper,Brighton,DEF,4.3,49,OK,11.4
Gudmundsson,Leeds,DEF,3.8,49,OK,12.89
Livramento,Newcastle,DEF,4.9,48,DOUBT,9.8
Dunk,Brighton,DEF,4.5,48,OK,10.67
Shaw,Man Utd,DEF,4.5,47,OK,10.44
Hartman,Burnley,DEF,4.0,46,OK,11.5
Bogle,Leeds,DEF,4.4,45,OK,10.23
Diouf,West Ham,DEF,4.0,44,OK,11.0
Rice,Arsenal,MID,6.9,122,OK,17.68
Semenyo,Bournemouth,MID,7.4,120,OK,16.22
Bruno G.,Newcastle,MID,6.8,117,OK,17.21
B.Fernandes,Man Utd,MID,9.1,106,DOUBT,11.65
Wilson,Fulham,MID,5.9,102,OK,17.29
Rogers,Aston Villa,MID,7.5,101,OK,13.47
Foden,Man City,MID,8.2,100,OK,12.2
Saka,Arsenal,MID,10.2,98,OK,9.61
Garner,Everton,MID,5.1,95,OK,18.63
Gravenberch,Liverpool,MID,5.7,94,OK,16.49
Enzo,Chelsea,MID,6.4,92,OK,14.38
Neto,Chelsea,MID,7.1,88,OK,12.39
Xhaka,Sunderland,MID,5.2,88,OK,16.92
Stach,Leeds,MID,4.9,87,OK,17.76
Casemiro,Man Utd,MID,5.5,87,OK,15.82
Anderson,Nott'm Forest,MID,5.3,86,OK,16.23
Tavernier,Bournemouth,MID,5.5,86,OK,15.64
Schade,Brentford,MID,7.1,85,OK,11.97
Gibbs-White,Nott'm Forest,MID,7.3,81,OK,11.1
Trossard,Arsenal,MID,6.9,80,DOUBT,11.59
Minteh,Brighton,MID,5.8,79,DOUBT,13.62
J.Palhinha,Spurs,MID,5.5,78,OK,14.18
Grealish,Everton,MID,6.5,76,OK,11.69
Szoboszlai,Liverpool,MID,6.6,71,OK,10.76
E Le Fee,Sunderland,MID,4.9,71,OK,14.49
McGinn,Aston Villa,MID,5.4,70,OK,12.96
Anthony,Burnley,MID,5.1,69,OK,13.53
Doku,Man City,MID,6.4,69,OK,10.78
Eze,Arsenal,MID,7.4,67,OK,9.05
Ayari,Brighton,MID,4.8,66,OK,13.75
Cunha,Man City,MID,8.2,66,OK,8.05
Yarmoliuk,Brentford,MID,5.0,66,OK,13.2
Barnes,Newcastle,MID,6.1,65,OK,10.66
M.Fernandes,West Ham,MID,5.5,63,OK,11.45
Scott,Bournemouth,MID,5.0,62,OK,12.4
Kamara,Aston Villa,MID,4.9,61,OK,12.45
Ugochukwu,Burnley,MID,5.0,61,OK,12.2
Georginio,Brighton,MID,5.6,60,OK,10.71
Henderson,Brentford,MID,5.0,58,OK,11.6
Iwobi,Fulham,MID,6.3,56,OK,8.89
Haaland,Man City,FWD,14.1,163,OK,11.56
Thiago,Brentford,FWD,6.5,120,OK,18.46
Bowen,West Ham,FWD,7.7,90,OK,11.69
Ekitiké,Liverpool,FWD,9.1,84,DOUBT,9.23
João Pedro,Chelsea,FWD,7.1,84,OK,11.83
Calvert-Lewin,Leeds,FWD,5.9,81,OK,13.73
Watkins,Aston Villa,FWD,8.7,81,OK,9.31
Mateta,Crystal Palace,FWD,7.6,80,OK,10.53
Woltemade,Newcastle,FWD,7.3,78,OK,10.68
Richarlison,Spurs,FWD,6.4,75,OK,11.72
Welbeck,Brighton,FWD,6.2,64,OK,10.32
Raúl,Fulham,FWD,6.2,62,OK,10.0
Evanilson,Bournemouth,FWD,7.0,62,OK,8.86
Šeško,Man Utd,FWD,7.2,55,OK,7.64
Gyökeres,Arsenal,FWD,8.7,54,OK,6.21
Kroupi.Jr,Bournemouth,FWD,4.6,54,OK,11.74
Wilson,West Ham,FWD,5.8,52,OK,8.97
Isidor,Sunderland,FWD,5.3,50,DOUBT,9.43
Nmecha,Leeds,FWD,5.0,42,OK,8.4
Barry,Everton,FWD,5.7,41,OK,7.19
Brobbey,Sunderland,FWD,5.5,40,OK,7.27
Beto,Everton,FWD,5.0,36,OK,7.2
Strand Larsen,Wolves,FWD,6.1,34,OK,5.57
Zirkzee,Man Utd,FWD,5.8,33,OK,5.69
Toti,Wolves,FWD,5.4,32,OK,5.93
Mayenda,Sunderland,FWD,5.2,22,OK,4.23
Kolo Muani,Spurs,FWD,6.9,21,OK,3.04
Kostoulas,Brighton,FWD,4.8,18,OK,3.75
Enes Ünal,Bournemouth,FWD,5.4,12,OK,2.22
Marc Guiu,Chelsea,FWD,4.2,12,OK,2.86
Wissa,Newcastle,FWD,7.3,9,OK,1.23
Havertz,Arsenal,FWD,7.3,1,OK,0.14
Scarlett,Spurs,FWD,4.3,1,OK,0.23
Pablo,West Ham,FWD,5.5,1,OK,0.18
Casey,Man City,FWD,4.5,0,OK,0.0
Graham,Everton,FWD,4.5,0,OK,0.0
