Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.9,95,OK,19.39,15.0,1.0,95.0
Pickford,Everton,GKP,5.6,90,OK,16.07,20.0,1.0,90.0
Raya,Arsenal,GKP,5.9,86,OK,14.58,11.0,1.0,86.0
Kelleher,Brentford,GKP,4.5,81,OK,18.0,25.0,1.0,81.0
Henderson,Crystal Palace,GKP,5.1,79,OK,15.49,15.0,1.0,79.0
Vicario,Spurs,GKP,4.8,75,OK,15.62,15.0,1.0,75.0
Sánchez,Chelsea,GKP,4.9,74,OK,15.1,7.0,1.0,74.0
Donnarumma,Man City,GKP,5.7,69,OK,12.11,12.0,1.0,69.0
Verbruggen,Brighton,GKP,4.5,68,OK,15.11,12.0,1.0,68.0
Pope,Newcastle,GKP,5.1,65,OK,12.75,10.0,1.0,65.0
Martinez,Aston Villa,GKP,5.0,64,DOUBT,12.8,7.0,1.0,64.0
Leno,Fulham,GKP,4.9,64,OK,13.06,12.0,1.0,64.0
Dúbravka,Burnley,GKP,4.0,63,OK,15.75,17.0,1.0,63.0
A.Becker,Liverpool,GKP,5.4,62,OK,11.48,20.0,1.0,62.0
Petrović,Bournemouth,GKP,4.5,57,OK,12.67,2.0,1.0,57.0
Sels,Nott'm Forest,GKP,4.6,44,OK,9.57,4.0,1.0,44.0
Areola,West Ham,GKP,4.3,44,OK,10.23,9.0,1.0,44.0
Perri,Leeds,GKP,4.5,43,OK,9.56,15.0,1.0,43.0
Lammens,Man Utd,GKP,5.0,41,OK,8.2,6.0,1.0,41.0
Johnstone,Wolves,GKP,4.4,21,OK,4.77,0.0,1.0,21.0
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52,0.0,1.0,19.0
José Sá,Wolves,GKP,4.2,19,OK,4.52,12.0,1.0,19.0
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62,2.0,1.0,11.0
Trafford,Man City,GKP,4.5,11,OK,2.44,0.0,1.0,11.0
Bayindir,Man Utd,GKP,4.7,11,OK,2.34,0.0,1.0,11.0
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29,1.0,1.0,11.0
John,Nott'm Forest,GKP,4.0,11,DOUBT,2.75,4.0,1.0,11.0
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0
Hermansen,West Ham,GKP,4.2,9,OK,2.14,0.0,1.0,9.0
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7,2.0,1.0,3.0
Gabriel,Arsenal,DEF,6.6,112,OK,16.97,112.0,1.0,112.0
Guéhi,Crystal Palace,DEF,4.6,105,OK,22.83,12.0,1.0,105.0
J.Timber,Arsenal,DEF,6.3,104,OK,16.51,24.0,1.0,104.0
