Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW29,BHA,A,1201,1201,1223
ARS,GW30,EVE,H,1201,1201,1201
ARS,GW31,-,A,0,0,0
ARS,GW32,BOU,H,1201,1138,1214
ARS,GW33,MCI,A,1352,1295,1399
AVL,GW29,CHE,H,1201,1201,1262
AVL,GW30,MUN,A,1232,1201,1295
AVL,GW31,WHU,H,1181,1147,1201
AVL,GW32,NFO,A,1201,1201,1201
AVL,GW33,SUN,H,1167,1196,1138
BOU,GW29,BRE,H,1201,1201,1201
BOU,GW30,BUR,A,1187,1187,1187
BOU,GW31,MUN,H,1201,1196,1251
BOU,GW32,ARS,A,1370,1399,1341
BOU,GW33,NEW,A,1214,1201,1284
BRE,GW29,BOU,A,1201,1201,1214
BRE,GW30,WOL,H,1129,1158,1097
BRE,GW31,LEE,A,1201,1201,1251
BRE,GW32,EVE,H,1201,1201,1201
BRE,GW33,FUL,H,1190,1167,1201
BHA,GW29,ARS,H,1295,1341,1251
BHA,GW30,SUN,A,1214,1223,1205
BHA,GW31,LIV,H,1208,1201,1251
BHA,GW32,BUR,A,1187,1187,1187
BHA,GW33,TOT,A,1201,1201,1201
BUR,GW29,EVE,A,1201,1201,1201
BUR,GW30,BOU,H,1201,1138,1214
BUR,GW31,FUL,A,1201,1201,1201
BUR,GW32,BHA,H,1201,1201,1201
BUR,GW33,NFO,A,1201,1201,1201
CHE,GW29,AVL,A,1217,1223,1214
CHE,GW30,NEW,H,1201,1201,1201
CHE,GW31,EVE,A,1201,1201,1201
CHE,GW32,MCI,H,1246,1205,1295
CHE,GW33,MUN,H,1201,1196,1251
CRY,GW29,TOT,A,1201,1201,1201
CRY,GW30,LEE,H,1187,1147,1201
CRY,GW31,-,A,0,0,0
CRY,GW32,NEW,H,1201,1201,1201
CRY,GW33,WHU,H,1181,1147,1201
EVE,GW29,BUR,H,1070,1001,1138
EVE,GW30,ARS,A,1370,1399,1341
EVE,GW31,CHE,H,1201,1201,1262
EVE,GW32,BRE,A,1217,1201,1273
EVE,GW33,LIV,H,1208,1201,1251
FUL,GW29,WHU,H,1181,1147,1201
FUL,GW30,NFO,A,1201,1201,1201
FUL,GW31,BUR,H,1070,1001,1138
FUL,GW32,LIV,A,1237,1205,1273
FUL,GW33,BRE,A,1217,1201,1273
LEE,GW29,SUN,H,1167,1196,1138
LEE,GW30,CRY,A,1201,1201,1201
LEE,GW31,BRE,H,1201,1201,1201
LEE,GW32,MUN,A,1232,1201,1295
LEE,GW33,WOL,H,1129,1158,1097
LIV,GW29,WOL,A,1158,1167,1147
LIV,GW30,TOT,H,1201,1201,1201
LIV,GW31,BHA,A,1201,1201,1223
LIV,GW32,FUL,H,1190,1167,1201
LIV,GW33,EVE,A,1201,1201,1201
MCI,GW29,NFO,H,1176,1196,1158
MCI,GW30,WHU,A,1196,1158,1201
MCI,GW31,-,A,0,0,0
MCI,GW32,CHE,A,1214,1201,1284
MCI,GW33,ARS,H,1295,1341,1251
MUN,GW29,NEW,A,1214,1201,1284
MUN,GW30,AVL,H,1201,1201,1201
MUN,GW31,BOU,A,1201,1201,1214
MUN,GW32,LEE,H,1187,1147,1201
MUN,GW33,CHE,A,1214,1201,1284
NEW,GW29,MUN,H,1201,1196,1251
NEW,GW30,CHE,A,1214,1201,1284
NEW,GW31,SUN,H,1167,1196,1138
NEW,GW32,CRY,A,1201,1201,1201
NEW,GW33,BOU,H,1201,1138,1214
NFO,GW29,MCI,A,1352,1295,1399
NFO,GW30,FUL,H,1190,1167,1201
NFO,GW31,TOT,A,1201,1201,1201
NFO,GW32,AVL,H,1201,1201,1201
NFO,GW33,BUR,H,1070,1001,1138
SUN,GW29,LEE,A,1201,1201,1251
SUN,GW30,BHA,H,1201,1201,1201
SUN,GW31,NEW,A,1214,1201,1284
SUN,GW32,TOT,H,1201,1201,1201
SUN,GW33,AVL,A,1217,1223,1214
TOT,GW29,CRY,H,1201,1201,1201
TOT,GW30,LIV,A,1237,1205,1273
TOT,GW31,NFO,H,1176,1196,1158
TOT,GW32,SUN,A,1214,1223,1205
TOT,GW33,BHA,H,1201,1201,1201
WHU,GW29,FUL,A,1201,1201,1201
WHU,GW30,MCI,H,1246,1205,1295
WHU,GW31,AVL,A,1217,1223,1214
WHU,GW32,WOL,H,1129,1158,1097
WHU,GW33,CRY,A,1201,1201,1201
WOL,GW29,LIV,H,1208,1201,1251
WOL,GW30,BRE,A,1217,1201,1273
WOL,GW31,-,A,0,0,0
WOL,GW32,WHU,A,1196,1158,1201
WOL,GW33,LEE,A,1201,1201,1251
