Surname,Team,Position,CP,SP,PP,Status
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
Roefs,Sunderland,GKP,4.9,4.9,4.9,DOUBT
Gabriel,Arsenal,DEF,7.2,6.9,6.6,OK
J.Timber,Arsenal,DEF,6.3,6.3,6.4,OK
Senesi,Bournemouth,DEF,5.0,4.8,4.6,OK
Chalobah,Chelsea,DEF,5.6,5.4,5.3,OK
Guéhi,Man City,DEF,5.2,4.9,4.6,OK
Rice,Arsenal,MID,7.4,7.1,6.9,OK
Semenyo,Man City,MID,8.3,7.8,7.4,OK
Enzo,Chelsea,MID,6.7,6.7,6.7,OK
B.Fernandes,Man Utd,MID,10.0,9.7,9.5,OK
L.Miley,Newcastle,MID,4.4,4.4,4.5,DOUBT
Thiago,Brentford,FWD,7.2,6.8,6.5,OK
João Pedro,Chelsea,FWD,7.7,7.7,7.7,OK
Haaland,Man City,FWD,14.6,14.3,14.1,OK
