Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.6,195,OK
João Pedro,Chelsea,FWD,7.7,160,OK
Thiago,Brentford,FWD,7.2,143,OK
Bowen,West Ham,FWD,7.5,135,OK
Ekitiké,Liverpool,FWD,9.1,123,OK
Calvert-Lewin,Leeds,FWD,5.7,108,OK
Watkins,Aston Villa,FWD,8.5,100,OK
Raúl,Fulham,FWD,6.2,97,OK
Gyökeres,Arsenal,FWD,8.8,94,OK
Welbeck,Brighton,FWD,6.1,92,OK
Šeško,Man Utd,FWD,7.3,89,OK
Evanilson,Bournemouth,FWD,6.8,87,OK
Woltemade,Newcastle,FWD,6.7,86,OK
Mateta,Crystal Palace,FWD,7.5,84,DOUBT
Richarlison,Spurs,FWD,6.3,82,OK
Barry,Everton,FWD,5.7,74,OK
Kroupi.Jr,Bournemouth,FWD,4.7,72,OK
Igor Jesus,Nott'm Forest,FWD,5.8,71,OK
Wilson,West Ham,FWD,5.8,64,OK
Nmecha,Leeds,FWD,5.0,63,OK
Flemming,Burnley,FWD,5.3,62,DOUBT
Brobbey,Sunderland,FWD,5.4,62,DOUBT
Strand Larsen,Crystal Palace,FWD,6.1,61,OK
Isidor,Sunderland,FWD,5.1,60,OK
Beto,Everton,FWD,5.0,58,OK
Tolu,Wolves,FWD,5.4,54,OK
Mané,Wolves,FWD,4.5,52,OK
Foster,Burnley,FWD,4.9,48,OK
Broja,Burnley,FWD,5.2,38,DOUBT
Zirkzee,Man Utd,FWD,5.8,37,OK
Mayenda,Sunderland,FWD,5.2,37,OK
Kolo Muani,Spurs,FWD,6.9,37,OK
Delap,Chelsea,FWD,6.2,36,OK
Solanke,Spurs,FWD,7.2,31,OK
Kostoulas,Brighton,FWD,4.8,30,OK
Osula,Newcastle,FWD,5.4,30,OK
Isak,Liverpool,FWD,10.3,29,INJURY
Taty,West Ham,FWD,5.5,28,OK
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Nketiah,Crystal Palace,FWD,5.4,23,INJURY
Muniz,Fulham,FWD,5.3,22,OK
Enes Ünal,Bournemouth,FWD,5.4,20,OK
Wissa,Newcastle,FWD,7.3,19,OK
G.Jesus,Arsenal,FWD,6.4,17,OK
Uche,Crystal Palace,FWD,5.5,17,OK
Tzimas,Brighton,FWD,5.2,16,INJURY
Awoniyi,Nott'm Forest,FWD,5.2,15,OK
Armstrong,Wolves,FWD,5.3,15,OK
Piroe,Leeds,FWD,4.9,14,OK
Abraham,Aston Villa,FWD,6.0,13,OK
Marc Guiu,Chelsea,FWD,4.1,12,OK
Havertz,Arsenal,FWD,7.3,10,OK
Lucca,Nott'm Forest,FWD,5.5,8,OK
Pablo,West Ham,FWD,5.4,8,INJURY
Barnes,Burnley,FWD,4.2,4,OK
Kusi-Asare,Fulham,FWD,4.5,4,OK
Amdouni,Burnley,FWD,4.8,0,INJURY
Furo,Brentford,FWD,4.5,0,OK
Marsh,Crystal Palace,FWD,4.4,0,OK
Casey,Crystal Palace,FWD,4.5,0,OK
