Surname,Team,Position,Price,TP,Status,PPM
Raya,Arsenal,GKP,6.0,122,OK,20.33
Pickford,Everton,GKP,5.6,117,OK,20.89
Henderson,Crystal Palace,GKP,5.0,115,OK,23.0
Roefs,Sunderland,GKP,4.9,110,DOUBT,22.45
Kelleher,Brentford,GKP,4.7,104,OK,22.13
Donnarumma,Man City,GKP,5.6,102,OK,18.21
Martinez,Aston Villa,GKP,5.1,97,OK,19.02
Sánchez,Chelsea,GKP,4.9,97,OK,19.8
Petrović,Bournemouth,GKP,4.5,94,OK,20.89
Verbruggen,Brighton,GKP,4.5,91,OK,20.22
A.Becker,Liverpool,GKP,5.4,85,OK,15.74
Vicario,Spurs,GKP,4.7,85,OK,18.09
Pope,Newcastle,GKP,5.1,82,OK,16.08
Dúbravka,Burnley,GKP,4.0,80,OK,20.0
Leno,Fulham,GKP,4.9,79,OK,16.12
Lammens,Man Utd,GKP,5.0,72,OK,14.4
Sels,Nott'm Forest,GKP,4.6,64,OK,13.91
José Sá,Wolves,GKP,4.2,56,OK,13.33
Areola,West Ham,GKP,4.3,51,OK,11.86
Perri,Leeds,GKP,4.5,43,OK,9.56
Hermansen,West Ham,GKP,4.2,40,OK,9.52
Darlow,Leeds,GKP,3.9,30,OK,7.69
Johnstone,Wolves,GKP,4.4,21,OK,4.77
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63
Ramsdale,Newcastle,GKP,4.8,14,OK,2.92
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62
Trafford,Man City,GKP,4.5,11,OK,2.44
Bayindir,Man Utd,GKP,4.7,11,OK,2.34
Ortega Moreno,Nott'm Forest,GKP,4.7,11,DOUBT,2.34
Gabriel,Arsenal,DEF,6.6,164,OK,24.85
J.Timber,Arsenal,DEF,6.4,148,OK,23.12
Tarkowski,Everton,DEF,5.7,136,OK,23.86
Guéhi,Man City,DEF,4.6,133,OK,28.91
Virgil,Liverpool,DEF,6.2,130,OK,20.97
Chalobah,Chelsea,DEF,5.3,129,OK,24.34
Senesi,Bournemouth,DEF,4.6,126,OK,27.39
Matheus N.,Man City,DEF,5.4,126,OK,23.33
O'Reilly,Man City,DEF,5.1,123,OK,24.12
Lacroix,Crystal Palace,DEF,5.1,119,OK,23.33
Mukiele,Sunderland,DEF,4.5,115,DOUBT,25.56
Ballard,Sunderland,DEF,4.6,114,OK,24.78
Rúben,Man City,DEF,5.5,112,OK,20.36
James,Chelsea,DEF,5.6,111,OK,19.82
Konaté,Liverpool,DEF,5.5,111,OK,20.18
Muñoz,Crystal Palace,DEF,5.9,109,DOUBT,18.47
Mitchell,Crystal Palace,DEF,5.0,108,OK,21.6
Truffert,Bournemouth,DEF,4.6,107,OK,23.26
Van Hecke,Brighton,DEF,4.4,107,OK,24.32
Keane,Everton,DEF,4.6,107,OK,23.26
Thiaw,Newcastle,DEF,5.0,105,OK,21.0
Richards,Crystal Palace,DEF,4.4,104,OK,23.64
Cash,Aston Villa,DEF,4.8,100,DOUBT,20.83
Alderete,Sunderland,DEF,4.1,100,OK,24.39
Collins,Brentford,DEF,4.9,99,OK,20.2
Saliba,Arsenal,DEF,6.1,96,DOUBT,15.74
Dalot,Man Utd,DEF,4.6,95,OK,20.65
O'Brien,Everton,DEF,4.9,93,OK,18.98
Andersen,Fulham,DEF,4.5,93,OK,20.67
Cucurella,Chelsea,DEF,6.0,91,OK,15.17
Gusto,Chelsea,DEF,4.9,89,OK,18.16
Romero,Spurs,DEF,5.0,89,OK,17.8
Konsa,Aston Villa,DEF,4.4,88,OK,20.0
Calafiori,Arsenal,DEF,5.6,87,DOUBT,15.54
Rodon,Leeds,DEF,3.9,85,OK,21.79
Hume,Sunderland,DEF,4.5,85,OK,18.89
N.Williams,Nott'm Forest,DEF,4.7,84,OK,17.87
Van den Berg,Brentford,DEF,4.5,83,OK,18.44
Milenković,Nott'm Forest,DEF,5.1,81,OK,15.88
Struijk,Leeds,DEF,4.3,80,OK,18.6
Pedro Porro,Spurs,DEF,5.1,80,OK,15.69
Lewis-Potter,Brentford,DEF,4.8,79,OK,16.46
Diouf,West Ham,DEF,4.0,79,OK,19.75
Kayode,Brentford,DEF,4.5,78,OK,17.33
F.Kadıoğlu,Brighton,DEF,4.4,76,OK,17.27
Mykolenko,Everton,DEF,4.9,76,OK,15.51
Hill,Bournemouth,DEF,4.2,75,OK,17.86
Tete,Fulham,DEF,4.5,75,OK,16.67
Digne,Aston Villa,DEF,4.5,74,OK,16.44
Burn,Newcastle,DEF,5.0,74,OK,14.8
Kerkez,Liverpool,DEF,5.6,72,OK,12.86
H.Bueno,Wolves,DEF,4.3,72,OK,16.74
S.Bueno,Wolves,DEF,4.4,71,OK,16.14
Hincapie,Arsenal,DEF,5.1,70,OK,13.73
Ajer,Brentford,DEF,4.4,70,OK,15.91
Dunk,Brighton,DEF,4.5,70,OK,15.56
Bogle,Leeds,DEF,4.4,70,OK,15.91
Semenyo,Man City,MID,7.4,172,OK,23.24
B.Fernandes,Man Utd,MID,9.5,166,OK,17.47
Rice,Arsenal,MID,6.9,160,OK,23.19
Wilson,Fulham,MID,6.0,140,DOUBT,23.33
Anderson,Nott'm Forest,MID,5.5,131,OK,23.82
Saka,Arsenal,MID,9.8,130,OK,13.27
Rogers,Aston Villa,MID,7.5,130,OK,17.33
Garner,Everton,MID,5.2,129,OK,24.81
Casemiro,Man Utd,MID,5.6,127,OK,22.68
Enzo,Chelsea,MID,6.7,125,OK,18.66
Gibbs-White,Nott'm Forest,MID,7.3,122,OK,16.71
Gravenberch,Liverpool,MID,5.5,119,OK,21.64
Mbeumo,Man Utd,MID,8.7,118,OK,13.56
Zubimendi,Arsenal,MID,5.2,114,OK,21.92
Stach,Leeds,MID,4.7,114,OK,24.26
Dewsbury-Hall,Everton,MID,5.1,112,OK,21.96
Foden,Man City,MID,8.1,111,OK,13.7
Szoboszlai,Liverpool,MID,6.9,109,OK,15.8
E.Le Fée,Sunderland,MID,5.0,107,OK,21.4
Neto,Chelsea,MID,7.0,106,OK,15.14
Aaronson,Leeds,MID,5.4,105,OK,19.44
Tavernier,Bournemouth,MID,5.3,104,OK,19.62
M.Fernandes,West Ham,MID,5.5,104,OK,18.91
Cunha,Man Utd,MID,8.0,103,OK,12.88
Scott,Bournemouth,MID,5.1,101,OK,19.8
Gakpo,Liverpool,MID,7.3,101,OK,13.84
Anthony,Burnley,MID,5.0,100,OK,20.0
Ndiaye,Everton,MID,6.2,100,OK,16.13
Wirtz,Liverpool,MID,8.3,100,OK,12.05
Trossard,Arsenal,MID,6.7,99,DOUBT,14.78
Cherki,Man City,MID,6.4,99,OK,15.47
O.Dango,Brentford,MID,6.0,97,OK,16.17
Schade,Brentford,MID,6.9,97,OK,14.06
M.Salah,Liverpool,MID,14.0,96,OK,6.86
Xhaka,Sunderland,MID,5.1,94,OK,18.43
J.Palhinha,Spurs,MID,5.5,94,OK,17.09
Caicedo,Chelsea,MID,5.7,93,OK,16.32
Palmer,Chelsea,MID,10.6,92,OK,8.68
Ampadu,Leeds,MID,4.9,92,OK,18.78
Summerville,West Ham,MID,5.7,92,OK,16.14
Eze,Arsenal,MID,7.2,91,OK,12.64
Iwobi,Fulham,MID,6.4,91,OK,14.22
Sarr,Crystal Palace,MID,6.3,90,OK,14.29
Wharton,Crystal Palace,MID,5.0,90,OK,18.0
Damsgaard,Brentford,MID,5.6,85,OK,15.18
Minteh,Brighton,MID,5.5,85,OK,15.45
Reijnders,Man City,MID,5.0,85,OK,17.0
J.Gomes,Wolves,MID,5.3,85,OK,16.04
