Surname,Team,Position,Price,TP,Status
Roefs,Sunderland,GKP,4.7,54,OK
Raya,Arsenal,GKP,5.9,52,OK
Pope,Newcastle,GKP,5.2,49,OK
Vicario,Spurs,GKP,5.1,46,OK
Petrović,Bournemouth,GKP,4.5,39,OK
Henderson,Crystal Palace,GKP,5.0,36,OK
Pickford,Everton,GKP,5.5,35,OK
Dúbravka,Burnley,GKP,4.0,33,OK
Leno,Fulham,GKP,5.0,32,OK
Sánchez,Chelsea,GKP,4.8,31,OK
Kelleher,Brentford,GKP,4.5,30,OK
Martinez,Aston Villa,GKP,5.0,26,OK
Donnarumma,Man City,GKP,5.7,25,OK
Sels,Nott'm Forest,GKP,4.8,21,OK
Verbruggen,Brighton,GKP,4.4,20,OK
A.Becker,Liverpool,GKP,5.4,20,INJURY
Perri,Leeds,GKP,4.5,15,OK
Lammens,Man Utd,GKP,5.0,15,OK
Areola,West Ham,GKP,4.3,13,OK
Johnstone,Wolves,GKP,4.5,13,OK
Mamardashvili,Liverpool,GKP,4.3,12,OK
Trafford,Man City,GKP,4.7,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Darlow,Leeds,GKP,4.0,10,OK
Hermansen,West Ham,GKP,4.4,9,OK
M.Bizot,Aston Villa,GKP,4.3,7,OK
José Sá,Wolves,GKP,4.3,5,OK
Jörgensen,Chelsea,GKP,4.4,1,OK
