Surname,Team,Position,CP,SP,PP,Status
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
Roefs,Sunderland,GKP,4.9,4.9,4.9,OK
Gabriel,Arsenal,DEF,7.1,6.8,6.6,OK
J.Timber,Arsenal,DEF,6.4,6.4,6.4,OK
Senesi,Bournemouth,DEF,4.8,4.7,4.6,OK
Chalobah,Chelsea,DEF,5.8,5.5,5.3,OK
Guéhi,Man City,DEF,5.2,4.9,4.6,OK
Rice,Arsenal,MID,7.6,7.2,6.9,OK
Semenyo,Man City,MID,8.0,7.7,7.4,OK
Enzo,Chelsea,MID,6.9,6.8,6.7,OK
B.Fernandes,Man Utd,MID,9.8,9.6,9.5,OK
Bruno G.,Newcastle,MID,7.0,6.9,6.8,INJURY
Thiago,Brentford,FWD,7.0,6.7,6.5,OK
Marc Guiu,Chelsea,FWD,4.2,4.2,4.2,OK
Haaland,Man City,FWD,14.9,14.5,14.1,DOUBT
