Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.9,187,DOUBT
Thiago,Brentford,FWD,7.0,133,OK
João Pedro,Chelsea,FWD,7.7,132,OK
Bowen,West Ham,FWD,7.6,120,OK
Ekitiké,Liverpool,FWD,8.9,104,OK
Calvert-Lewin,Leeds,FWD,5.9,102,OK
Watkins,Aston Villa,FWD,8.6,95,OK
Mateta,Crystal Palace,FWD,7.5,84,INJURY
Woltemade,Newcastle,FWD,6.9,84,OK
Raúl,Fulham,FWD,6.1,83,OK
Gyökeres,Arsenal,FWD,8.8,78,OK
Evanilson,Bournemouth,FWD,7.0,77,OK
Richarlison,Spurs,FWD,6.3,75,INJURY
Welbeck,Brighton,FWD,6.1,73,OK
Seško,Man Utd,FWD,7.2,71,OK
Kroupi.Jr,Bournemouth,FWD,4.7,67,OK
Barry,Everton,FWD,5.7,65,OK
Wilson,West Ham,FWD,5.8,62,OK
Brobbey,Sunderland,FWD,5.5,61,OK
Nmecha,Leeds,FWD,5.0,60,OK
Igor Jesus,Nott'm Forest,FWD,5.8,59,OK
Isidor,Sunderland,FWD,5.1,54,OK
Strand Larsen,Crystal Palace,FWD,6.1,53,OK
Tolu,Wolves,FWD,5.4,49,OK
Flemming,Burnley,FWD,5.3,47,OK
Foster,Burnley,FWD,4.9,46,OK
Beto,Everton,FWD,5.0,46,OK
Mané,Wolves,FWD,4.6,46,OK
Broja,Burnley,FWD,5.2,38,INJURY
Zirkzee,Man Utd,FWD,5.8,35,OK
Delap,Chelsea,FWD,6.2,33,OK
Kostoulas,Brighton,FWD,4.8,30,OK
Isak,Liverpool,FWD,10.3,29,INJURY
Kolo Muani,Spurs,FWD,6.9,28,OK
Mayenda,Sunderland,FWD,5.2,26,OK
Wood,Nott'm Forest,FWD,7.2,25,INJURY
Nketiah,Crystal Palace,FWD,5.4,23,INJURY
Osula,Newcastle,FWD,5.4,21,OK
Solanke,Spurs,FWD,7.2,21,OK
Muniz,Fulham,FWD,5.3,19,OK
Wissa,Newcastle,FWD,7.3,18,DOUBT
G.Jesus,Arsenal,FWD,6.4,17,OK
Enes Unal,Bournemouth,FWD,5.4,17,OK
Taty,West Ham,FWD,5.5,17,OK
Tzimas,Brighton,FWD,5.2,16,INJURY
Uche,Crystal Palace,FWD,5.5,16,OK
Awoniyi,Nott'm Forest,FWD,5.2,13,OK
Marc Guiu,Chelsea,FWD,4.2,12,OK
Piroe,Leeds,FWD,4.9,12,OK
Havertz,Arsenal,FWD,7.3,8,DOUBT
Pablo,West Ham,FWD,5.5,8,INJURY
Armstrong,Wolves,FWD,5.5,8,OK
Lucca,Nott'm Forest,FWD,5.5,7,OK
Abraham,Aston Villa,FWD,6.0,4,OK
Kusi-Asare,Fulham,FWD,4.5,4,OK
Barnes,Burnley,FWD,4.2,1,OK
Amdouni,Burnley,FWD,4.8,0,INJURY
Furo,Brentford,FWD,4.5,0,OK
Marsh,Crystal Palace,FWD,4.4,0,OK
Casey,Crystal Palace,FWD,4.5,0,OK
