Surname,Team,Position,Price,TP,Status
Roefs,Sunderland,GKP,4.8,73,OK
Raya,Arsenal,GKP,6.0,68,OK
Pickford,Everton,GKP,5.5,68,OK
Henderson,Crystal Palace,GKP,5.1,64,OK
Sánchez,Chelsea,GKP,4.9,63,OK
Vicario,Spurs,GKP,4.9,59,OK
Pope,Newcastle,GKP,5.1,55,INJURY
Martinez,Aston Villa,GKP,5.1,54,DOUBT
Petrović,Bournemouth,GKP,4.5,53,OK
Donnarumma,Man City,GKP,5.7,50,OK
Verbruggen,Brighton,GKP,4.4,45,OK
Leno,Fulham,GKP,4.9,45,OK
Dúbravka,Burnley,GKP,4.0,44,OK
Kelleher,Brentford,GKP,4.5,43,OK
Sels,Nott'm Forest,GKP,4.7,40,DOUBT
A.Becker,Liverpool,GKP,5.4,39,OK
Areola,West Ham,GKP,4.3,33,OK
Perri,Leeds,GKP,4.5,27,OK
Lammens,Man Utd,GKP,5.1,25,OK
Johnstone,Wolves,GKP,4.5,21,OK
Mamardashvili,Liverpool,GKP,4.3,19,OK
Trafford,Man City,GKP,4.6,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Darlow,Leeds,GKP,3.9,10,OK
M.Bizot,Aston Villa,GKP,4.2,9,OK
Hermansen,West Ham,GKP,4.3,9,OK
Ramsdale,Newcastle,GKP,4.8,7,OK
John,Nott'm Forest,GKP,4.0,6,OK
José Sá,Wolves,GKP,4.2,5,OK
Jörgensen,Chelsea,GKP,4.3,1,OK
