Surname,Team,Position,Price,TP,Status
Roefs,Sunderland,GKP,4.8,80,OK
Raya,Arsenal,GKP,6.0,75,OK
Pickford,Everton,GKP,5.5,70,OK
Sánchez,Chelsea,GKP,4.9,67,OK
Henderson,Crystal Palace,GKP,5.1,64,OK
Vicario,Spurs,GKP,4.8,60,OK
Martinez,Aston Villa,GKP,5.0,57,OK
Donnarumma,Man City,GKP,5.7,57,OK
Kelleher,Brentford,GKP,4.5,56,OK
Verbruggen,Brighton,GKP,4.4,56,OK
Petrović,Bournemouth,GKP,4.5,55,OK
Pope,Newcastle,GKP,5.1,55,DOUBT
Leno,Fulham,GKP,4.9,52,OK
Dúbravka,Burnley,GKP,4.0,46,OK
A.Becker,Liverpool,GKP,5.4,42,OK
Sels,Nott'm Forest,GKP,4.6,40,OK
Lammens,Man Utd,GKP,5.0,35,OK
Areola,West Ham,GKP,4.3,35,OK
Perri,Leeds,GKP,4.5,28,OK
Johnstone,Wolves,GKP,4.4,21,OK
Mamardashvili,Liverpool,GKP,4.2,19,OK
Trafford,Man City,GKP,4.6,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Darlow,Leeds,GKP,3.9,10,OK
Ramsdale,Newcastle,GKP,4.8,10,OK
M.Bizot,Aston Villa,GKP,4.2,9,OK
Hermansen,West Ham,GKP,4.3,9,OK
John,Nott'm Forest,GKP,4.0,7,OK
José Sá,Wolves,GKP,4.2,7,OK
Jörgensen,Chelsea,GKP,4.3,1,OK
