Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW26,WOL,A,1158,1167,1147
ARS,GW27,BRE,A,1217,1201,1273
ARS,GW28,TOT,A,1201,1201,1201
ARS,GW29,CHE,H,1201,1201,1262
ARS,GW30,BHA,A,1201,1201,1223
AVL,GW26,BHA,H,1201,1201,1201
AVL,GW27,LEE,H,1187,1147,1201
AVL,GW28,WOL,A,1158,1167,1147
AVL,GW29,CHE,H,1201,1201,1262
AVL,GW30,MUN,A,1232,1201,1295
BOU,GW26,EVE,A,1201,1201,1201
BOU,GW27,WHU,A,1196,1158,1201
BOU,GW28,SUN,H,1167,1196,1138
BOU,GW29,BRE,H,1201,1201,1201
BOU,GW30,BUR,A,1187,1187,1187
BRE,GW26,ARS,H,1295,1341,1251
BRE,GW27,BHA,H,1201,1201,1201
BRE,GW28,BUR,A,1187,1187,1187
BRE,GW29,BOU,A,1201,1201,1214
BRE,GW30,WOL,H,1129,1158,1097
BHA,GW26,AVL,A,1217,1223,1214
BHA,GW27,BRE,A,1217,1201,1273
BHA,GW28,NFO,H,1176,1196,1158
BHA,GW29,ARS,H,1295,1341,1251
BHA,GW30,SUN,A,1214,1223,1205
BUR,GW26,CRY,A,1201,1201,1201
BUR,GW27,CHE,A,1214,1201,1284
BUR,GW28,BRE,H,1201,1201,1201
BUR,GW29,EVE,A,1201,1201,1201
BUR,GW30,BOU,H,1201,1138,1214
CHE,GW26,LEE,H,1187,1147,1201
CHE,GW27,BUR,H,1070,1001,1138
CHE,GW28,ARS,A,1370,1399,1341
CHE,GW29,AVL,A,1217,1223,1214
CHE,GW30,NEW,H,1201,1201,1201
CRY,GW26,BUR,H,1070,1001,1138
CRY,GW27,WOL,H,1129,1158,1097
CRY,GW28,MUN,A,1232,1201,1295
CRY,GW29,TOT,A,1201,1201,1201
CRY,GW30,LEE,H,1187,1147,1201
EVE,GW26,BOU,H,1201,1138,1214
EVE,GW27,MUN,H,1201,1196,1251
EVE,GW28,NEW,A,1214,1201,1284
EVE,GW29,BUR,H,1070,1001,1138
EVE,GW30,ARS,A,1370,1399,1341
FUL,GW26,MCI,A,1352,1295,1399
FUL,GW27,SUN,A,1214,1223,1205
FUL,GW28,TOT,H,1201,1201,1201
FUL,GW29,WHU,H,1181,1147,1201
FUL,GW30,NFO,A,1201,1201,1201
LEE,GW26,CHE,A,1214,1201,1284
LEE,GW27,AVL,A,1217,1223,1214
LEE,GW28,MCI,H,1246,1205,1295
LEE,GW29,SUN,H,1167,1196,1138
LEE,GW30,CRY,A,1201,1201,1201
LIV,GW26,SUN,A,1214,1223,1205
LIV,GW27,NFO,A,1201,1201,1201
LIV,GW28,WHU,H,1181,1147,1201
LIV,GW29,WOL,A,1158,1167,1147
LIV,GW30,TOT,H,1201,1201,1201
MCI,GW26,FUL,H,1190,1167,1201
MCI,GW27,NEW,H,1201,1201,1201
MCI,GW28,LEE,A,1201,1201,1251
MCI,GW29,NFO,H,1176,1196,1158
MCI,GW30,WHU,A,1196,1158,1201
MUN,GW26,WHU,A,1196,1158,1201
MUN,GW27,EVE,A,1201,1201,1201
MUN,GW28,CRY,H,1201,1201,1201
MUN,GW29,NEW,A,1214,1201,1284
MUN,GW30,AVL,H,1201,1201,1201
NEW,GW26,TOT,A,1201,1201,1201
NEW,GW27,MCI,A,1352,1295,1399
NEW,GW28,EVE,H,1201,1201,1201
NEW,GW29,MUN,H,1201,1196,1251
NEW,GW30,CHE,A,1214,1201,1284
NFO,GW26,WOL,H,1129,1158,1097
NFO,GW27,LIV,H,1208,1201,1251
NFO,GW28,BHA,A,1201,1201,1223
NFO,GW29,MCI,A,1352,1295,1399
NFO,GW30,FUL,H,1190,1167,1201
SUN,GW26,LIV,H,1208,1201,1251
SUN,GW27,FUL,H,1190,1167,1201
SUN,GW28,BOU,A,1201,1201,1214
SUN,GW29,LEE,A,1201,1201,1251
SUN,GW30,BHA,H,1201,1201,1201
TOT,GW26,NEW,H,1201,1201,1201
TOT,GW27,ARS,H,1295,1341,1251
TOT,GW28,FUL,A,1201,1201,1201
TOT,GW29,CRY,H,1201,1201,1201
TOT,GW30,LIV,A,1237,1205,1273
WHU,GW26,MUN,H,1201,1196,1251
WHU,GW27,BOU,H,1201,1138,1214
WHU,GW28,LIV,A,1237,1205,1273
WHU,GW29,FUL,A,1201,1201,1201
WHU,GW30,MCI,H,1246,1205,1295
WOL,GW26,NFO,A,1201,1201,1201
WOL,GW27,ARS,H,1295,1341,1251
WOL,GW28,CRY,A,1201,1201,1201
WOL,GW29,AVL,H,1201,1201,1201
WOL,GW30,LIV,H,1208,1201,1251
