Surname,Team,Position,CP,SP,PP,Status
Henderson,Crystal Palace,GKP,5.0,5.0,5.0,OK
Dubravka,Spurs,GKP,0.0,0.0,0.0,OK
Calafiori,Arsenal,DEF,5.6,5.6,5.6,OK
Diop,Ipswich Town,DEF,4.0,4.0,4.0,OK
Guéhi,Man City,DEF,6.0,6.0,6.0,OK
Senesi,Spurs,DEF,0.0,0.0,0.0,OK
O'Nien,Sunderland,DEF,0.0,0.0,0.0,OK
Rice,Arsenal,MID,7.5,7.5,7.5,OK
Rogers,Chelsea,MID,7.5,7.5,7.5,OK
Hughes,Crystal Palace,MID,0.0,0.0,0.0,OK
Wilson,Leeds,MID,0.0,0.0,0.0,OK
Semenyo,Man City,MID,8.5,8.5,8.5,OK
Thiago,Brentford,FWD,8.0,8.0,8.0,OK
João Pedro,Chelsea,FWD,7.6,7.6,7.6,OK
Haaland,Man City,FWD,15.5,15.5,15.5,OK
