Surname,Team,Position,Price,TP,Status
Calafiori,Arsenal,DEF,5.6,20,OK
Ajayi,Hull City,DEF,4.1,20,OK
White,Arsenal,DEF,5.5,18,OK
Tarkowski,Everton,DEF,6.0,18,OK
De Cuyper,Brighton,DEF,4.7,17,OK
Egan,Hull City,DEF,4.0,17,OK
Mendy,Hull City,DEF,4.0,16,OK
Kayode,Brentford,DEF,4.6,15,OK
Gvardiol,Man City,DEF,5.6,14,OK
Hall,Newcastle,DEF,5.0,14,OK
Gabriel,Arsenal,DEF,8.0,13,OK
Mosquera,Arsenal,DEF,5.5,12,OK
Castagne,Fulham,DEF,4.5,12,OK
Giles,Hull City,DEF,4.0,12,OK
Justin,Leeds,DEF,4.5,12,OK
Guéhi,Man City,DEF,6.0,12,OK
Dedić,Newcastle,DEF,4.5,12,OK
Ajer,Brentford,DEF,4.5,11,OK
Thomas,Coventry City,DEF,4.0,11,OK
Bijol,Leeds,DEF,5.0,11,OK
Branthwaite,Everton,DEF,5.5,10,OK
Mykolenko,Everton,DEF,4.5,10,OK
Muharemović,Leeds,DEF,5.0,10,OK
Collins,Brentford,DEF,5.5,9,OK
Thiaw,Newcastle,DEF,5.0,9,OK
Mukiele,Sunderland,DEF,5.5,9,OK
Davis,Ipswich Town,DEF,4.0,8,OK
Bogle,Leeds,DEF,4.5,8,OK
Botman,Newcastle,DEF,5.0,8,OK
N.Williams,Nott'm Forest,DEF,5.0,8,OK
Ballard,Sunderland,DEF,5.0,8,OK
Hume,Sunderland,DEF,4.5,8,OK
Wieffer,Brighton,DEF,5.0,7,OK
Lacroix,Chelsea,DEF,6.0,7,OK
Rodon,Leeds,DEF,4.5,7,DOUBT
Reinildo,Sunderland,DEF,4.5,7,OK
Meunier,Sunderland,DEF,4.5,7,OK
Silva,Bournemouth,DEF,5.0,6,OK
Vuskovic,Brighton,DEF,5.0,6,OK
Coyle,Hull City,DEF,4.0,6,DOUBT
Hill,Bournemouth,DEF,5.5,5,OK
Truffert,Bournemouth,DEF,5.5,5,OK
Boscagli,Brighton,DEF,4.5,5,OK
Dunk,Brighton,DEF,4.5,5,OK
Hato,Chelsea,DEF,4.5,5,OK
Maguire,Man Utd,DEF,5.0,5,OK
Milenković,Nott'm Forest,DEF,5.5,5,OK
Murillo,Nott'm Forest,DEF,5.5,5,OK
Aina,Nott'm Forest,DEF,4.5,5,OK
Robertson,Spurs,DEF,4.5,5,OK
Acheampong,Chelsea,DEF,4.5,4,OK
Diop,Ipswich Town,DEF,4.0,4,OK
O'Shea,Ipswich Town,DEF,4.0,4,OK
Jacquet,Liverpool,DEF,5.0,4,OK
O'Reilly,Man City,DEF,6.5,4,OK
Rúben,Man City,DEF,5.5,4,OK
Khusanov,Man City,DEF,5.5,4,OK
van Ewijk,Coventry City,DEF,4.0,3,OK
Dasilva,Coventry City,DEF,4.0,3,OK
Richards,Crystal Palace,DEF,5.0,3,OK
