Surname,Team,Position,CP,SP,PP,Status
Raya,Arsenal,GKP,6.0,6.0,6.0,OK
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
J.Timber,Arsenal,DEF,6.5,6.0,5.6,OK
Senesi,Bournemouth,DEF,4.9,4.7,4.6,OK
Estève,Burnley,DEF,3.9,3.9,3.9,OK
Chalobah,Chelsea,DEF,5.5,5.4,5.3,OK
Guéhi,Crystal Palace,DEF,5.3,4.9,4.6,OK
Rice,Arsenal,MID,7.1,7.0,6.9,OK
Semenyo,Bournemouth,MID,7.5,7.5,7.4,OK
Foden,Man City,MID,8.8,8.5,8.2,OK
B.Fernandes,Man Utd,MID,9.3,9.2,9.1,OK
Bruno G.,Newcastle,MID,7.0,6.9,6.8,OK
Thiago,Brentford,FWD,7.2,6.8,6.5,DOUBT
Marc Guiu,Chelsea,FWD,4.2,4.2,4.2,OK
Haaland,Man City,FWD,15.0,14.5,14.1,OK
