Surname,Team,Position,CP,SP,PP,Status
Dubravka,Spurs,GKP,0.0,0.0,0.0,OK
Tzolakis,Hull City,GKP,4.6,4.6,4.6,OK
Calafiori,Arsenal,DEF,5.8,5.8,5.8,OK
Thomas,Coventry City,DEF,4.0,4.0,4.0,OK
Tarkowski,Everton,DEF,6.1,6.1,6.1,OK
Egan,Hull City,DEF,4.1,4.1,4.1,OK
Ajayi,Hull City,DEF,4.2,4.2,4.2,OK
Saka,Arsenal,MID,9.5,9.5,9.5,OK
Ødegaard,Arsenal,MID,6.8,6.8,6.8,OK
Gakpo,Liverpool,MID,7.2,7.2,7.2,OK
B.Fernandes,Man Utd,MID,12.0,12.0,12.0,OK
Yalcouyé,Brighton,MID,4.5,4.5,4.5,OK
João Pedro,Chelsea,FWD,7.8,7.8,7.8,DOUBT
Walle Egeli,Ipswich Town,FWD,4.5,4.5,4.5,OK
Haaland,Man City,FWD,15.6,15.6,15.6,OK
