Surname,Team,Position,Price,TP
Pope,Newcastle,GKP,5.0,32
Vicario,Spurs,GKP,5.1,30
Roefs,Sunderland,GKP,4.5,29
Raya,Arsenal,GKP,5.5,26
Pickford,Everton,GKP,5.5,25
Henderson,Crystal Palace,GKP,5.0,22
Petrović,Bournemouth,GKP,4.5,21
A.Becker,Liverpool,GKP,5.5,18
Dúbravka,Burnley,GKP,4.0,17
Leno,Fulham,GKP,5.0,17
Sánchez,Chelsea,GKP,5.0,16
Perri,Leeds,GKP,4.5,12
Martinez,Aston Villa,GKP,5.0,11
Trafford,Man City,GKP,4.9,11
Kelleher,Brentford,GKP,4.5,10
Sels,Nott'm Forest,GKP,5.0,10
Bayindir,Man Utd,GKP,5.0,9
Hermansen,West Ham,GKP,4.5,9
Verbruggen,Brighton,GKP,4.5,8
M.Bizot,Aston Villa,GKP,4.5,7
Donnarumma,Man City,GKP,5.6,7
Darlow,Leeds,GKP,4.0,6
José Sá,Wolves,GKP,4.5,5
Johnstone,Wolves,GKP,4.5,3
Jörgensen,Chelsea,GKP,4.4,1
Areola,West Ham,GKP,4.4,1
Arrizabalaga,Arsenal,GKP,4.4,0
