Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW2,AVL,A,1169,1147,1188
ARS,GW3,CHE,H,1201,1188,1237
ARS,GW4,SUN,A,1077,1077,1077
ARS,GW5,BHA,A,1181,1134,1201
ARS,GW6,LEE,H,1201,1174,1201
AVL,GW2,ARS,H,1379,1399,1345
AVL,GW3,HUL,A,1001,1005,1001
AVL,GW4,NFO,H,1174,1174,1174
AVL,GW5,TOT,A,1154,1120,1161
AVL,GW6,BRE,H,1201,1188,1212
BOU,GW2,EVE,H,1154,1147,1161
BOU,GW3,NEW,A,1113,1120,1106
BOU,GW4,BRE,H,1201,1188,1212
BOU,GW5,LIV,H,1230,1201,1345
BOU,GW6,CHE,A,1201,1134,1201
BRE,GW2,LEE,A,1084,1077,1091
BRE,GW3,SUN,H,1169,1201,1120
BRE,GW4,BOU,A,1154,1026,1201
BRE,GW5,CHE,H,1201,1188,1237
BRE,GW6,AVL,A,1169,1147,1188
BHA,GW2,CHE,A,1201,1134,1201
BHA,GW3,LEE,H,1201,1174,1201
BHA,GW4,COV,A,1068,1061,1077
BHA,GW5,ARS,H,1379,1399,1345
BHA,GW6,SUN,A,1077,1077,1077
CHE,GW2,BHA,H,1201,1201,1212
CHE,GW3,ARS,A,1273,1329,1224
CHE,GW4,HUL,H,1035,1061,1005
CHE,GW5,BRE,A,1127,1106,1147
CHE,GW6,BOU,H,1201,1174,1201
COV,GW2,HUL,H,1035,1061,1005
COV,GW3,MCI,A,1212,1201,1313
COV,GW4,BHA,H,1201,1201,1212
COV,GW5,NFO,A,1134,1106,1161
COV,GW6,NEW,H,1201,1120,1251
CRY,GW2,MCI,H,1345,1282,1399
CRY,GW3,FUL,A,1084,1061,1106
CRY,GW4,IPS,H,1077,1091,1061
CRY,GW5,LEE,A,1084,1077,1091
CRY,GW6,NFO,H,1174,1174,1174
EVE,GW2,BOU,A,1154,1026,1201
EVE,GW3,MUN,H,1201,1188,1313
EVE,GW4,TOT,A,1154,1120,1161
EVE,GW5,IPS,H,1077,1091,1061
EVE,GW6,HUL,A,1001,1005,1001
FUL,GW2,SUN,A,1077,1077,1077
FUL,GW3,CRY,H,1174,1161,1188
FUL,GW4,LIV,A,1201,1188,1266
FUL,GW5,MUN,H,1201,1188,1313
FUL,GW6,IPS,A,1026,1044,1005
HUL,GW2,COV,A,1068,1061,1077
HUL,GW3,AVL,H,1201,1201,1224
HUL,GW4,CHE,A,1201,1134,1201
HUL,GW5,NEW,A,1113,1120,1106
HUL,GW6,EVE,H,1154,1147,1161
IPS,GW2,MUN,A,1201,1188,1251
IPS,GW3,LIV,H,1230,1201,1345
IPS,GW4,CRY,A,1147,1134,1161
IPS,GW5,EVE,A,1147,1147,1147
IPS,GW6,FUL,H,1201,1188,1201
LEE,GW2,BRE,H,1201,1188,1212
LEE,GW3,BHA,A,1181,1134,1201
LEE,GW4,NEW,H,1201,1120,1251
LEE,GW5,CRY,H,1174,1161,1188
LEE,GW6,ARS,A,1273,1329,1224
LIV,GW2,NFO,H,1174,1174,1174
LIV,GW3,IPS,A,1026,1044,1005
LIV,GW4,FUL,H,1201,1188,1201
LIV,GW5,BOU,A,1154,1026,1201
LIV,GW6,MCI,H,1345,1282,1399
MCI,GW2,CRY,A,1147,1134,1161
MCI,GW3,COV,H,1127,1091,1161
MCI,GW4,MUN,A,1201,1188,1251
MCI,GW5,SUN,H,1169,1201,1120
MCI,GW6,LIV,A,1201,1188,1266
MUN,GW2,IPS,H,1077,1091,1061
MUN,GW3,EVE,A,1147,1147,1147
MUN,GW4,MCI,H,1345,1282,1399
MUN,GW5,FUL,A,1084,1061,1106
MUN,GW6,TOT,H,1154,1120,1201
NEW,GW2,TOT,A,1154,1120,1161
NEW,GW3,BOU,H,1201,1174,1201
NEW,GW4,LEE,A,1084,1077,1091
NEW,GW5,HUL,H,1035,1061,1005
NEW,GW6,COV,A,1068,1061,1077
NFO,GW2,LIV,A,1201,1188,1266
NFO,GW3,TOT,H,1154,1120,1201
NFO,GW4,AVL,A,1169,1147,1188
NFO,GW5,COV,H,1127,1091,1161
NFO,GW6,CRY,A,1147,1134,1161
SUN,GW2,FUL,H,1201,1188,1201
SUN,GW3,BRE,A,1127,1106,1147
SUN,GW4,ARS,H,1379,1399,1345
SUN,GW5,MCI,A,1212,1201,1313
SUN,GW6,BHA,H,1201,1201,1212
TOT,GW2,NEW,H,1201,1120,1251
TOT,GW3,NFO,A,1134,1106,1161
TOT,GW4,EVE,H,1154,1147,1161
TOT,GW5,AVL,H,1201,1201,1224
TOT,GW6,MUN,A,1201,1188,1251
