Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.7,60,OK,12.77,4.0,1.0,60.0
Raya,Arsenal,GKP,5.9,58,OK,9.83,5.0,1.0,58.0
Henderson,Crystal Palace,GKP,5.0,53,OK,10.6,8.0,1.0,53.0
Pickford,Everton,GKP,5.5,53,OK,9.64,11.0,1.0,53.0
Martinez,Aston Villa,GKP,5.1,50,OK,9.8,10.0,1.0,50.0
Vicario,Spurs,GKP,5.0,49,OK,9.8,2.0,1.0,49.0
Sánchez,Chelsea,GKP,4.8,46,OK,9.58,9.0,1.0,46.0
Petrović,Bournemouth,GKP,4.5,43,OK,9.56,3.0,1.0,43.0
Verbruggen,Brighton,GKP,4.4,40,OK,9.09,14.0,1.0,40.0
Leno,Fulham,GKP,4.9,40,OK,8.16,6.0,1.0,40.0
Dúbravka,Burnley,GKP,4.0,38,OK,9.5,3.0,1.0,38.0
Donnarumma,Man City,GKP,5.7,37,OK,6.49,6.0,1.0,37.0
Kelleher,Brentford,GKP,4.5,36,OK,8.0,4.0,1.0,36.0
Sels,Nott'm Forest,GKP,4.7,32,OK,6.81,9.0,1.0,32.0
A.Becker,Liverpool,GKP,5.4,28,OK,5.19,8.0,1.0,28.0
Areola,West Ham,GKP,4.3,26,OK,6.05,11.0,1.0,26.0
Perri,Leeds,GKP,4.5,21,OK,4.67,4.0,1.0,21.0
Lammens,Man Utd,GKP,5.0,20,OK,4.0,4.0,1.0,20.0
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0
Johnstone,Wolves,GKP,4.5,19,OK,4.22,4.0,1.0,19.0
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0
M.Bizot,Aston Villa,GKP,4.3,7,OK,1.63,0.0,1.0,7.0
José Sá,Wolves,GKP,4.3,5,OK,1.16,0.0,1.0,5.0
Ramsdale,Newcastle,GKP,4.8,2,OK,0.42,2.0,1.0,2.0
Jörgensen,Chelsea,GKP,4.3,1,OK,0.23,0.0,1.0,1.0
Arrizabalaga,Arsenal,GKP,4.2,0,OK,0.0,0.0,1.0,0.0
Gabriel,Arsenal,DEF,6.3,81,OK,12.86,81.0,1.0,81.0
Muñoz,Crystal Palace,DEF,6.0,75,OK,12.5,15.0,1.0,75.0
J.Timber,Arsenal,DEF,6.4,74,OK,11.56,7.0,1.0,74.0
Chalobah,Chelsea,DEF,5.2,70,OK,13.46,15.0,1.0,70.0
Lacroix,Crystal Palace,DEF,5.1,70,OK,13.73,14.0,1.0,70.0
Guehi,Crystal Palace,DEF,5.1,69,OK,13.53,5.0,1.0,69.0
Keane,Everton,DEF,4.6,67,OK,14.57,11.0,1.0,67.0
Mitchell,Crystal Palace,DEF,5.0,62,OK,12.4,7.0,1.0,62.0
Cash,Aston Villa,DEF,4.7,60,OK,12.77,8.0,1.0,60.0
Richards,Crystal Palace,DEF,4.6,59,OK,12.83,7.0,1.0,59.0
Van de Ven,Spurs,DEF,4.8,58,OK,12.08,0.0,1.0,58.0
Cucurella,Chelsea,DEF,6.2,56,OK,9.03,7.0,1.0,56.0
O'Reilly,Man City,DEF,5.2,56,OK,10.77,5.0,1.0,56.0
James,Chelsea,DEF,5.6,55,OK,9.82,9.0,1.0,55.0
Mukiele,Sunderland,DEF,4.2,55,OK,13.1,4.0,1.0,55.0
Tarkowski,Everton,DEF,5.4,54,OK,10.0,11.0,1.0,54.0
Andersen,Fulham,DEF,4.5,53,OK,11.78,14.0,1.0,53.0
Rúben,Man City,DEF,5.6,53,OK,9.46,8.0,1.0,53.0
Burn,Newcastle,DEF,5.1,53,OK,10.39,5.0,1.0,53.0
Ballard,Sunderland,DEF,4.6,53,OK,11.52,4.0,1.0,53.0
Digne,Aston Villa,DEF,4.5,50,OK,11.11,8.0,1.0,50.0
Virgil,Liverpool,DEF,6.0,50,OK,8.33,9.0,1.0,50.0
Rodon,Leeds,DEF,4.1,49,OK,11.95,3.0,1.0,49.0
Matheus N.,Man City,DEF,5.3,49,OK,9.25,4.0,1.0,49.0
Van Hecke,Brighton,DEF,4.4,48,OK,10.91,8.0,1.0,48.0
Konate,Liverpool,DEF,5.4,47,OK,8.7,8.0,1.0,47.0
Pedro Porro,Spurs,DEF,5.4,47,OK,8.7,1.0,1.0,47.0
Truffert,Bournemouth,DEF,4.5,46,OK,10.22,1.0,1.0,46.0
Thiaw,Newcastle,DEF,4.9,46,OK,9.39,46.0,1.0,46.0
Alderete,Sunderland,DEF,4.1,45,OK,10.98,0.0,1.0,45.0
Tete,Fulham,DEF,4.5,44,OK,9.78,18.0,1.0,44.0
Konsa,Aston Villa,DEF,4.4,43,OK,9.77,10.0,1.0,43.0
De Ligt,Man Utd,DEF,5.0,42,OK,8.4,3.0,1.0,42.0
Gusto,Chelsea,DEF,4.9,42,OK,8.57,3.0,1.0,42.0
Hume,Sunderland,DEF,4.5,42,OK,9.33,1.0,1.0,42.0
Saliba,Arsenal,DEF,6.0,41,DOUBT,6.83,2.0,1.0,41.0
Bassey,Fulham,DEF,4.5,41,OK,9.11,13.0,1.0,41.0
Gvardiol,Man City,DEF,5.8,41,OK,7.07,7.0,1.0,41.0
Livramento,Newcastle,DEF,4.9,41,DOUBT,8.37,4.0,1.0,41.0
Hartman,Burnley,DEF,4.0,40,OK,10.0,4.0,1.0,40.0
Van den Berg,Brentford,DEF,4.5,39,OK,8.67,5.0,1.0,39.0
Collins,Brentford,DEF,4.9,37,OK,7.55,5.0,1.0,37.0
Kayode,Brentford,DEF,4.5,37,OK,8.22,3.0,1.0,37.0
Dunk,Brighton,DEF,4.5,36,OK,8.0,7.0,1.0,36.0
Pau,Aston Villa,DEF,4.3,35,OK,8.14,35.0,1.0,35.0
Romero,Spurs,DEF,5.0,35,OK,7.0,1.0,1.0,35.0
Diouf,West Ham,DEF,4.2,35,OK,8.33,4.0,1.0,35.0
Estève,Burnley,DEF,3.9,34,OK,8.72,6.0,1.0,34.0
O'Brien,Everton,DEF,4.9,34,OK,6.94,6.0,1.0,34.0
N.Williams,Nott'm Forest,DEF,4.7,34,OK,7.23,34.0,1.0,34.0
De Cuyper,Brighton,DEF,4.3,32,OK,7.44,32.0,1.0,32.0
Botman,Newcastle,DEF,4.9,32,DOUBT,6.53,1.0,1.0,32.0
Diakité,Bournemouth,DEF,4.4,31,OK,7.05,1.0,1.0,31.0
F.Kadıoğlu,Brighton,DEF,4.4,31,OK,7.05,31.0,1.0,31.0
