Surname,Team,Position,Price,TP,Status
Roefs,Sunderland,GKP,4.7,56,OK
Raya,Arsenal,GKP,5.9,53,OK
Pope,Newcastle,GKP,5.2,52,OK
Vicario,Spurs,GKP,5.0,47,OK
Henderson,Crystal Palace,GKP,5.0,45,OK
Pickford,Everton,GKP,5.5,42,OK
Martinez,Aston Villa,GKP,5.0,40,OK
Petrović,Bournemouth,GKP,4.5,40,OK
Sánchez,Chelsea,GKP,4.8,37,OK
Dúbravka,Burnley,GKP,4.0,35,OK
Leno,Fulham,GKP,5.0,34,OK
Kelleher,Brentford,GKP,4.5,32,OK
Donnarumma,Man City,GKP,5.7,31,OK
Verbruggen,Brighton,GKP,4.4,26,OK
Sels,Nott'm Forest,GKP,4.8,23,OK
A.Becker,Liverpool,GKP,5.4,20,DOUBT
Mamardashvili,Liverpool,GKP,4.3,19,OK
Perri,Leeds,GKP,4.5,17,OK
Lammens,Man Utd,GKP,5.0,16,OK
Areola,West Ham,GKP,4.3,15,OK
Johnstone,Wolves,GKP,4.5,15,OK
Trafford,Man City,GKP,4.7,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Darlow,Leeds,GKP,4.0,10,OK
Hermansen,West Ham,GKP,4.4,9,OK
M.Bizot,Aston Villa,GKP,4.3,7,OK
José Sá,Wolves,GKP,4.3,5,OK
Jörgensen,Chelsea,GKP,4.3,1,OK
Arrizabalaga,Arsenal,GKP,4.2,0,OK
Setford,Arsenal,GKP,4.0,0,OK
