Surname,Team,Position,CP,SP,PP,Status
Pope,Newcastle,GKP,5.2,5.2,5.2,OK
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
Calafiori,Arsenal,DEF,5.8,5.8,5.8,OK
J.Timber,Arsenal,DEF,6.3,5.9,5.6,OK
Senesi,Bournemouth,DEF,5.0,4.8,4.6,OK
Muñoz,Crystal Palace,DEF,5.9,5.8,5.7,OK
Guéhi,Crystal Palace,DEF,5.1,4.8,4.6,INJURY
Semenyo,Bournemouth,MID,7.9,7.6,7.4,DOUBT
Mbeumo,Man Utd,MID,8.6,8.6,8.6,OK
King,Fulham,MID,4.5,4.5,4.5,OK
M.Salah,Liverpool,MID,14.2,14.2,14.5,OK
Gravenberch,Liverpool,MID,5.6,5.6,5.6,OK
Kroupi.Jr,Bournemouth,FWD,4.6,4.6,4.6,OK
Marc Guiu,Chelsea,FWD,4.2,4.2,4.2,OK
Haaland,Man City,FWD,14.9,14.5,14.1,OK
