Surname,Team,Position,Price,TP,Status
Hume,Sunderland,DEF,4.5,42,OK
Saliba,Arsenal,DEF,6.0,41,OK
De Ligt,Man Utd,DEF,5.0,41,OK
Gusto,Chelsea,DEF,4.9,40,OK
Konaté,Liverpool,DEF,5.4,39,OK
Livramento,Newcastle,DEF,4.9,39,OK
Hartman,Burnley,DEF,4.0,37,OK
Van den Berg,Brentford,DEF,4.5,37,OK
Bassey,Fulham,DEF,4.5,37,OK
Konsa,Aston Villa,DEF,4.4,35,OK
Kayode,Brentford,DEF,4.5,35,OK
Gvardiol,Man City,DEF,5.8,35,OK
Romero,Spurs,DEF,5.0,35,INJURY
O'Brien,Everton,DEF,4.9,34,OK
Diouf,West Ham,DEF,4.3,34,OK
Collins,Brentford,DEF,4.9,33,OK
Maguire,Man Utd,DEF,4.4,33,INJURY
N.Williams,Nott'm Forest,DEF,4.7,33,OK
Tete,Fulham,DEF,4.5,32,OK
Botman,Newcastle,DEF,4.9,32,OK
Estève,Burnley,DEF,3.9,31,OK
Spence,Spurs,DEF,4.5,31,OK
Diakité,Bournemouth,DEF,4.5,30,OK
Dunk,Brighton,DEF,4.5,30,OK
Shaw,Man Utd,DEF,4.5,30,OK
Trippier,Newcastle,DEF,5.0,30,OK
Thiaw,Newcastle,DEF,4.9,30,OK
Murillo,Nott'm Forest,DEF,5.3,30,OK
Pau,Aston Villa,DEF,4.3,29,OK
Walker,Burnley,DEF,4.4,29,OK
Gabriel,Arsenal,DEF,6.4,81,INJURY
Muñoz,Crystal Palace,DEF,5.9,74,OK
J.Timber,Arsenal,DEF,6.3,72,OK
Guéhi,Crystal Palace,DEF,5.1,69,OK
Lacroix,Crystal Palace,DEF,5.0,67,OK
Keane,Everton,DEF,4.5,65,OK
Calafiori,Arsenal,DEF,5.8,63,OK
Senesi,Bournemouth,DEF,5.0,61,OK
Chalobah,Chelsea,DEF,5.1,61,OK
Mitchell,Crystal Palace,DEF,5.0,61,OK
Richards,Crystal Palace,DEF,4.6,58,OK
Van de Ven,Spurs,DEF,4.8,58,OK
Cucurella,Chelsea,DEF,6.1,55,OK
Mukiele,Sunderland,DEF,4.2,55,OK
Cash,Aston Villa,DEF,4.6,54,OK
Rúben,Man City,DEF,5.5,52,OK
O'Reilly,Man City,DEF,5.1,52,OK
Tarkowski,Everton,DEF,5.4,51,OK
Ballard,Sunderland,DEF,4.6,50,OK
Andersen,Fulham,DEF,4.5,49,OK
Rodon,Leeds,DEF,4.1,49,OK
Burn,Newcastle,DEF,5.1,48,OK
James,Chelsea,DEF,5.6,47,OK
Matheus N.,Man City,DEF,5.3,46,OK
Pedro Porro,Spurs,DEF,5.4,46,OK
Truffert,Bournemouth,DEF,4.5,45,OK
Alderete,Sunderland,DEF,4.1,45,OK
Virgil,Liverpool,DEF,6.0,44,OK
Digne,Aston Villa,DEF,4.5,43,OK
Van Hecke,Brighton,DEF,4.4,42,OK
