Surname,Team,Position,Price,TP,Status
Tzolakis,Hull City,GKP,4.6,34,OK
Raya,Arsenal,GKP,6.0,30,OK
Trafford,Leeds,GKP,5.0,28,OK
A.Becker,Liverpool,GKP,5.5,27,OK
Pickford,Everton,GKP,5.5,25,OK
Verbruggen,Brighton,GKP,4.5,23,OK
Kelleher,Brentford,GKP,5.0,20,OK
Donnarumma,Man City,GKP,5.5,19,OK
Leno,Fulham,GKP,4.5,18,OK
Kinsky,Spurs,GKP,4.5,18,OK
Suzuki,Aston Villa,GKP,5.0,16,OK
Rushworth,Coventry City,GKP,4.5,16,OK
Horníček,Newcastle,GKP,5.0,14,OK
Sels,Nott'm Forest,GKP,5.0,14,OK
Lammens,Man Utd,GKP,4.9,11,OK
Roefs,Sunderland,GKP,4.9,11,OK
Petrović,Bournemouth,GKP,4.5,9,OK
Martinez,Chelsea,GKP,5.0,9,OK
Benitez,Crystal Palace,GKP,4.5,8,OK
Scherpen,Ipswich Town,GKP,4.5,7,OK
Henderson,Crystal Palace,GKP,5.0,5,OK
Walton,Ipswich Town,GKP,4.4,2,OK
M.Bizot,Aston Villa,GKP,4.5,1,OK
Arrizabalaga,Arsenal,GKP,4.9,0,OK
Meslier,Arsenal,GKP,4.9,0,OK
Wright,Aston Villa,GKP,4.0,0,OK
Forster,Bournemouth,GKP,4.0,0,OK
Di Gregorio,Bournemouth,GKP,4.5,0,OK
Valdimarsson,Brentford,GKP,4.5,0,OK
Balcombe,Brentford,GKP,4.0,0,OK
