Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW6,LEE,H,1201,1174,1201
ARS,GW7,NFO,A,1134,1106,1161
ARS,GW8,EVE,H,1154,1147,1161
ARS,GW9,LIV,A,1201,1188,1266
ARS,GW10,HUL,H,1035,1061,1005
AVL,GW6,BRE,H,1201,1188,1212
AVL,GW7,NEW,A,1113,1120,1106
AVL,GW8,MCI,H,1345,1282,1399
AVL,GW9,FUL,H,1201,1188,1201
AVL,GW10,MUN,A,1201,1188,1251
BOU,GW6,CHE,A,1201,1134,1201
BOU,GW7,SUN,H,1169,1201,1120
BOU,GW8,MUN,A,1201,1188,1251
BOU,GW9,LEE,H,1201,1174,1201
BOU,GW10,IPS,A,1026,1044,1005
BRE,GW6,AVL,A,1169,1147,1188
BRE,GW7,LIV,H,1230,1201,1345
BRE,GW8,HUL,A,1001,1005,1001
BRE,GW9,NFO,H,1174,1174,1174
BRE,GW10,BHA,A,1181,1134,1201
BHA,GW6,SUN,A,1077,1077,1077
BHA,GW7,CRY,H,1174,1161,1188
BHA,GW8,LIV,A,1201,1188,1266
BHA,GW9,MCI,A,1212,1201,1313
BHA,GW10,BRE,H,1201,1188,1212
CHE,GW6,BOU,H,1201,1174,1201
CHE,GW7,EVE,A,1147,1147,1147
CHE,GW8,TOT,H,1154,1120,1201
CHE,GW9,MUN,H,1201,1188,1313
CHE,GW10,SUN,A,1077,1077,1077
COV,GW6,NEW,H,1201,1120,1251
COV,GW7,TOT,A,1154,1120,1161
COV,GW8,FUL,H,1201,1188,1201
COV,GW9,SUN,H,1169,1201,1120
COV,GW10,EVE,A,1147,1147,1147
CRY,GW6,NFO,H,1174,1174,1174
CRY,GW7,BHA,A,1181,1134,1201
CRY,GW8,NEW,H,1201,1120,1251
CRY,GW9,TOT,A,1154,1120,1161
CRY,GW10,LIV,H,1230,1201,1345
EVE,GW6,HUL,A,1001,1005,1001
EVE,GW7,CHE,H,1201,1188,1237
EVE,GW8,ARS,A,1273,1329,1224
EVE,GW9,NEW,A,1113,1120,1106
EVE,GW10,COV,H,1127,1091,1161
FUL,GW6,IPS,A,1026,1044,1005
FUL,GW7,HUL,H,1035,1061,1005
FUL,GW8,COV,A,1068,1061,1077
FUL,GW9,AVL,A,1169,1147,1188
FUL,GW10,NEW,H,1201,1120,1251
HUL,GW6,EVE,H,1154,1147,1161
HUL,GW7,FUL,A,1084,1061,1106
HUL,GW8,BRE,H,1201,1188,1212
HUL,GW9,IPS,H,1077,1091,1061
HUL,GW10,ARS,A,1273,1329,1224
IPS,GW6,FUL,H,1201,1188,1201
IPS,GW7,MCI,A,1212,1201,1313
IPS,GW8,NFO,H,1174,1174,1174
IPS,GW9,HUL,A,1001,1005,1001
IPS,GW10,BOU,H,1201,1174,1201
LEE,GW6,ARS,A,1273,1329,1224
LEE,GW7,MUN,H,1201,1188,1313
LEE,GW8,SUN,A,1077,1077,1077
LEE,GW9,BOU,A,1154,1026,1201
LEE,GW10,TOT,H,1154,1120,1201
LIV,GW6,MCI,H,1345,1282,1399
LIV,GW7,BRE,A,1127,1106,1147
LIV,GW8,BHA,H,1201,1201,1212
LIV,GW9,ARS,H,1379,1399,1345
LIV,GW10,CRY,A,1147,1134,1161
MCI,GW6,LIV,A,1201,1188,1266
MCI,GW7,IPS,H,1077,1091,1061
MCI,GW8,AVL,A,1169,1147,1188
MCI,GW9,BHA,H,1201,1201,1212
MCI,GW10,NFO,A,1134,1106,1161
MUN,GW6,TOT,H,1154,1120,1201
MUN,GW7,LEE,A,1084,1077,1091
MUN,GW8,BOU,H,1201,1174,1201
MUN,GW9,CHE,A,1201,1134,1201
MUN,GW10,AVL,H,1201,1201,1224
NEW,GW6,COV,A,1068,1061,1077
NEW,GW7,AVL,H,1201,1201,1224
NEW,GW8,CRY,A,1147,1134,1161
NEW,GW9,EVE,H,1154,1147,1161
NEW,GW10,FUL,A,1084,1061,1106
NFO,GW6,CRY,A,1147,1134,1161
NFO,GW7,ARS,H,1379,1399,1345
NFO,GW8,IPS,A,1026,1044,1005
NFO,GW9,BRE,A,1127,1106,1147
NFO,GW10,MCI,H,1345,1282,1399
SUN,GW6,BHA,H,1201,1201,1212
SUN,GW7,BOU,A,1154,1026,1201
SUN,GW8,LEE,H,1201,1174,1201
SUN,GW9,COV,A,1068,1061,1077
SUN,GW10,CHE,H,1201,1188,1237
TOT,GW6,MUN,A,1201,1188,1251
TOT,GW7,COV,H,1127,1091,1161
TOT,GW8,CHE,A,1201,1134,1201
TOT,GW9,CRY,H,1174,1161,1188
TOT,GW10,LEE,A,1084,1077,1091
