Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW20,BOU,A,1201,1201,1201
ARS,GW21,LIV,H,1201,1201,1253
ARS,GW22,NFO,A,1158,1134,1183
ARS,GW23,MUN,H,1165,1122,1201
ARS,GW24,LEE,A,1176,1122,1201
AVL,GW20,NFO,H,1122,1122,1122
AVL,GW21,CRY,A,1201,1183,1217
AVL,GW22,EVE,H,1122,1134,1109
AVL,GW23,NEW,A,1201,1201,1217
AVL,GW24,BRE,H,1165,1122,1201
BOU,GW20,ARS,H,1266,1323,1217
BOU,GW21,TOT,H,1199,1158,1201
BOU,GW22,BHA,A,1194,1134,1201
BOU,GW23,LIV,H,1201,1201,1253
BOU,GW24,WOL,A,1102,1053,1147
BRE,GW20,EVE,A,1158,1158,1158
BRE,GW21,SUN,H,1122,1122,1122
BRE,GW22,CHE,A,1201,1194,1201
BRE,GW23,NFO,H,1122,1122,1122
BRE,GW24,AVL,A,1201,1201,1201
BHA,GW20,BUR,H,1061,1001,1122
BHA,GW21,MCI,A,1273,1201,1383
BHA,GW22,BOU,H,1183,1122,1201
BHA,GW23,FUL,A,1158,1170,1147
BHA,GW24,EVE,H,1122,1134,1109
BUR,GW20,BHA,A,1194,1134,1201
BUR,GW21,MUN,H,1165,1122,1201
BUR,GW22,LIV,A,1223,1201,1295
BUR,GW23,TOT,H,1199,1158,1201
BUR,GW24,SUN,A,1176,1147,1201
CHE,GW20,MCI,A,1273,1201,1383
CHE,GW21,FUL,A,1158,1170,1147
CHE,GW22,BRE,H,1165,1122,1201
CHE,GW23,CRY,A,1201,1183,1217
CHE,GW24,WHU,H,1089,1053,1122
CRY,GW20,NEW,A,1201,1201,1217
CRY,GW21,AVL,H,1176,1183,1170
CRY,GW22,SUN,A,1176,1147,1201
CRY,GW23,CHE,H,1201,1170,1201
CRY,GW24,NFO,A,1158,1134,1183
EVE,GW20,BRE,H,1165,1122,1201
EVE,GW21,WOL,H,1082,1053,1109
EVE,GW22,AVL,A,1201,1201,1201
EVE,GW23,LEE,H,1115,1095,1134
EVE,GW24,BHA,A,1194,1134,1201
FUL,GW20,LIV,H,1201,1201,1253
FUL,GW21,CHE,H,1201,1170,1201
FUL,GW22,LEE,A,1176,1122,1201
FUL,GW23,BHA,H,1183,1109,1201
FUL,GW24,MUN,A,1201,1183,1217
LEE,GW20,MUN,H,1165,1122,1201
LEE,GW21,NEW,A,1201,1201,1217
LEE,GW22,FUL,H,1109,1095,1122
LEE,GW23,EVE,A,1158,1158,1158
LEE,GW24,ARS,H,1266,1323,1217
LIV,GW20,FUL,A,1158,1170,1147
LIV,GW21,ARS,A,1376,1399,1338
LIV,GW22,BUR,H,1061,1001,1122
LIV,GW23,BOU,A,1201,1201,1201
LIV,GW24,NEW,H,1194,1201,1183
MCI,GW20,CHE,H,1201,1170,1201
MCI,GW21,BHA,H,1183,1109,1201
MCI,GW22,MUN,A,1201,1183,1217
MCI,GW23,WOL,H,1082,1053,1109
MCI,GW24,TOT,A,1201,1183,1201
MUN,GW20,LEE,A,1176,1122,1201
MUN,GW21,BUR,A,1115,1109,1122
MUN,GW22,MCI,H,1206,1201,1253
MUN,GW23,ARS,A,1376,1399,1338
MUN,GW24,FUL,H,1109,1095,1122
NEW,GW20,CRY,H,1199,1183,1201
NEW,GW21,LEE,H,1115,1095,1134
NEW,GW22,WOL,A,1102,1053,1147
NEW,GW23,AVL,H,1176,1183,1170
NEW,GW24,LIV,A,1223,1201,1295
NFO,GW20,AVL,A,1201,1201,1201
NFO,GW21,WHU,A,1089,1053,1122
NFO,GW22,ARS,H,1266,1323,1217
NFO,GW23,BRE,A,1201,1134,1201
NFO,GW24,CRY,H,1199,1183,1201
SUN,GW20,TOT,A,1201,1183,1201
SUN,GW21,BRE,A,1201,1134,1201
SUN,GW22,CRY,H,1199,1183,1201
SUN,GW23,WHU,A,1089,1053,1122
SUN,GW24,BUR,H,1061,1001,1122
TOT,GW20,SUN,H,1122,1122,1122
TOT,GW21,BOU,A,1201,1201,1201
TOT,GW22,WHU,H,1089,1053,1122
TOT,GW23,BUR,A,1115,1109,1122
TOT,GW24,MCI,H,1206,1201,1253
WHU,GW20,WOL,A,1102,1053,1147
WHU,GW21,NFO,H,1122,1122,1122
WHU,GW22,TOT,A,1201,1183,1201
WHU,GW23,SUN,H,1122,1122,1122
WHU,GW24,CHE,A,1201,1194,1201
WOL,GW20,WHU,H,1089,1053,1122
WOL,GW21,EVE,A,1158,1158,1158
WOL,GW22,NEW,H,1194,1201,1183
WOL,GW23,MCI,A,1273,1201,1383
WOL,GW24,BOU,H,1183,1122,1201
