Surname,Team,Position,Price,TP,Status
Roefs,Sunderland,GKP,4.7,60,OK
Raya,Arsenal,GKP,5.9,58,INJURY
Pope,Newcastle,GKP,5.2,55,INJURY
Henderson,Crystal Palace,GKP,5.0,53,OK
Pickford,Everton,GKP,5.5,53,OK
Martinez,Aston Villa,GKP,5.1,50,OK
Vicario,Spurs,GKP,5.0,49,OK
Sánchez,Chelsea,GKP,4.8,46,OK
Petrović,Bournemouth,GKP,4.5,43,OK
Verbruggen,Brighton,GKP,4.4,40,OK
Leno,Fulham,GKP,4.9,40,OK
Dúbravka,Burnley,GKP,4.0,38,OK
Donnarumma,Man City,GKP,5.7,37,OK
Kelleher,Brentford,GKP,4.5,36,OK
Sels,Nott'm Forest,GKP,4.7,32,OK
A.Becker,Liverpool,GKP,5.4,28,OK
Areola,West Ham,GKP,4.3,26,OK
Perri,Leeds,GKP,4.5,21,OK
Lammens,Man Utd,GKP,5.0,20,OK
Mamardashvili,Liverpool,GKP,4.3,19,OK
Johnstone,Wolves,GKP,4.5,19,OK
Trafford,Man City,GKP,4.6,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Darlow,Leeds,GKP,4.0,10,OK
Hermansen,West Ham,GKP,4.3,9,OK
M.Bizot,Aston Villa,GKP,4.3,7,OK
José Sá,Wolves,GKP,4.3,5,OK
Ramsdale,Newcastle,GKP,4.8,2,OK
Jörgensen,Chelsea,GKP,4.3,1,OK
Arrizabalaga,Arsenal,GKP,4.2,0,OK
